"Index","Open","High","Low","Close","Volume","Adjusted"
2008-09-24,119.790001,120.010002,119.790001,120.010002,200,120.010002
2008-09-25,NA,NA,NA,NA,NA,NA
2008-09-26,NA,NA,NA,NA,NA,NA
2008-09-29,NA,NA,NA,NA,NA,NA
2008-09-30,NA,NA,NA,NA,NA,NA
2008-10-01,NA,NA,NA,NA,NA,NA
2008-10-02,NA,NA,NA,NA,NA,NA
2008-10-03,NA,NA,NA,NA,NA,NA
2008-10-06,NA,NA,NA,NA,NA,NA
2008-10-07,108.07,108.360001,108.07,108.360001,200,108.360001
2008-10-08,NA,NA,NA,NA,NA,NA
2008-10-09,NA,NA,NA,NA,NA,NA
2008-10-10,88.510002,88.510002,88.510002,88.510002,20,88.510002
2008-10-13,NA,NA,NA,NA,NA,NA
2008-10-14,NA,NA,NA,NA,NA,NA
2008-10-15,NA,NA,NA,NA,NA,NA
2008-10-16,88.510002,88.510002,88.510002,88.510002,0,88.510002
2008-10-17,NA,NA,NA,NA,NA,NA
2008-10-20,NA,NA,NA,NA,NA,NA
2008-10-21,NA,NA,NA,NA,NA,NA
2008-10-22,NA,NA,NA,NA,NA,NA
2008-10-23,NA,NA,NA,NA,NA,NA
2008-10-24,84.089996,84.089996,84.089996,84.089996,20,84.089996
2008-10-27,NA,NA,NA,NA,NA,NA
2008-10-28,NA,NA,NA,NA,NA,NA
2008-10-29,NA,NA,NA,NA,NA,NA
2008-10-30,NA,NA,NA,NA,NA,NA
2008-10-31,NA,NA,NA,NA,NA,NA
2008-11-03,NA,NA,NA,NA,NA,NA
2008-11-04,NA,NA,NA,NA,NA,NA
2008-11-05,NA,NA,NA,NA,NA,NA
2008-11-06,NA,NA,NA,NA,NA,NA
2008-11-07,NA,NA,NA,NA,NA,NA
2008-11-10,NA,NA,NA,NA,NA,NA
2008-11-11,84.089996,84.089996,84.089996,84.089996,0,84.089996
2008-11-12,NA,NA,NA,NA,NA,NA
2008-11-13,NA,NA,NA,NA,NA,NA
2008-11-14,NA,NA,NA,NA,NA,NA
2008-11-17,NA,NA,NA,NA,NA,NA
2008-11-18,NA,NA,NA,NA,NA,NA
2008-11-19,NA,NA,NA,NA,NA,NA
2008-11-20,NA,NA,NA,NA,NA,NA
2008-11-21,NA,NA,NA,NA,NA,NA
2008-11-24,NA,NA,NA,NA,NA,NA
2008-11-25,84.089996,84.089996,84.089996,84.089996,0,84.089996
2008-11-26,NA,NA,NA,NA,NA,NA
2008-11-27,NA,NA,NA,NA,NA,NA
2008-11-28,NA,NA,NA,NA,NA,NA
2008-12-01,NA,NA,NA,NA,NA,NA
2008-12-02,NA,NA,NA,NA,NA,NA
2008-12-03,NA,NA,NA,NA,NA,NA
2008-12-04,NA,NA,NA,NA,NA,NA
2008-12-05,NA,NA,NA,NA,NA,NA
2008-12-08,NA,NA,NA,NA,NA,NA
2008-12-09,NA,NA,NA,NA,NA,NA
2008-12-10,NA,NA,NA,NA,NA,NA
