"Index","Open","High","Low","Adjusted","Volume"
2009-02-13,6.4695,6.4695,6.4695,6.4695,0
2009-02-17,6.5465,6.5567,6.45,6.45,3400
2009-02-18,6.3364,6.5625,6.3364,6.5625,6000
2009-02-19,6.2918,6.2918,6.2918,6.2918,200
2009-02-20,6.5,6.721,6.5,6.571,57000
2009-02-23,6.4275,6.6705,6.408,6.5908,1600
2009-02-24,6.4588,6.4588,6.436,6.436,1500
2009-02-25,6.6492,6.8527,6.6279,6.63,6700
2009-02-26,6.475,6.795,6.454,6.565,24000
2009-02-27,6.56,6.6483,6.5096,6.6483,800
2009-03-02,6.6655,6.6655,6.283,6.2974,9700
2009-03-03,6.0666,6.363,6.0666,6.363,2500
2009-03-04,6.3035,6.3115,6.224,6.224,10100
2009-03-05,6.5838,6.5838,6.5838,6.5838,200
2009-03-06,6.4995,6.503,6.3155,6.3155,8000
2009-03-09,6.1605,6.2361,6.1605,6.1635,1800
2009-03-10,6.1573,6.1573,5.776,5.776,500
2009-03-11,6.16,6.2795,6.093,6.2795,1800
2009-03-12,6.25,6.2795,6.25,6.2795,4700
2009-03-13,6.3216,6.362,6.32,6.32,5800
2009-03-16,6.1085,6.1203,6.1005,6.1203,1000
2009-03-17,6.0902,6.0902,6.0824,6.0824,1500
2009-03-18,5.9769,6.527,5.9373,6.527,17600
2009-03-19,6.797,6.811,6.668,6.811,3900
2009-03-20,6.766,6.766,6.6546,6.6546,2800
2009-03-23,6.879,6.879,6.7079,6.7079,3700
2009-03-24,6.7079,6.7079,6.7079,6.7079,0
2009-03-25,7.063,7.063,7.0215,7.022,5100
2009-03-26,7.25,7.25,7.1923,7.25,7800
2009-03-27,7.14,7.14,6.9995,7,5500
2009-03-30,6.8465,7.0775,6.8465,6.9105,8200
2009-03-31,7.1419,7.1419,7.1419,7.1419,500
2009-04-01,7.178,7.3726,7.04,7.3706,46000
2009-04-02,7.18,7.46,7.18,7.46,5900
2009-04-03,7.4,7.4,7.4,7.4,2600
