"Index","Open","High","Low","Adjusted","Volume"
2014-09-19,92.7,99.7,89.95,93.89,271879400
2014-09-22,92.7,92.95,89.5,89.89,66332498
2014-09-23,88.94,90.48,86.62,87.17,38861975
2014-09-24,88.47,90.57,87.22,90.57,31864232
2014-09-25,91.09,91.5,88.5,88.92,28526179
2014-09-26,89.73,90.46,88.66,90.46,18339716
2014-09-29,89.62,89.7,88.02,88.75,25279264
2014-09-30,89,90.88,88.46,88.85,24408983
2014-10-01,88.7,88.94,86.04,86.1,24012926
2014-10-02,86.27,88.2,85.611,87.06,21469688
2014-10-03,88.1,89.94,87.65,88.1,18472777
2014-10-06,89.15,89.65,88.06,88.31,9276113
2014-10-07,87.95,89.7,87.06,87.67,12791745
2014-10-08,88,88.5,87.06,88.3,10255103
2014-10-09,88.51,90.35,88,88.79,21492810
2014-10-10,88.25,88.74,85.24,85.88,15424490
2014-10-13,86.85,86.89,84.92,85.12,14845004
2014-10-14,85.81,85.88,83.22,84.95,15567286
2014-10-15,84.04,86.49,82.81,85.6,16824274
2014-10-16,84.98,89.175,84.015,88.85,15216307
2014-10-17,90.4,90.9,87.6701,87.91,17360731
2014-10-20,88,89.5,87.86,88.26,9861999
2014-10-21,89.1,92.5,88.5,90.9,23207990
2014-10-22,92.25,93.5,91.01,91.63,20331868
2014-10-23,92.92,94.7,92.82,94.45,20576847
2014-10-24,95.07,98,94.78,95.76,32112882
2014-10-27,97,98.85,96.3,97.79,28236381
2014-10-28,99.84,100.67,98.61,99.68,32127642
2014-10-29,99.88,100,96.82,98.31,28655356
2014-10-30,98.48,99.44,97.3,98.73,15460454
2014-10-31,100.1,100.22,98.1356,98.6,18128280
2014-11-03,99.67,102.8,99.05,101.8,40787875
2014-11-04,100.425,106.359,99.51,106.07,67721166
2014-11-05,108.48,110.14,106.48,108.67,48283787
2014-11-06,109.3,111.7,107.21,111.57,33485283
2014-11-07,112.93,114.77,111.75,114.56,51457292
2014-11-10,117.27,119.45,115.2,119.15,75636276
2014-11-11,117.25,117.55,113.69,114.54,71152418
2014-11-12,115.05,119.07,114.02,118.2,53801203
2014-11-13,119.3,120,114.55,114.84,62162512
2014-11-14,115.06,115.39,113.35,115.1,29799885
2014-11-17,115.44,115.63,113.13,114.25,22539966
2014-11-18,114.33,114.38,110.41,110.81,41097971
2014-11-19,109.83,110.68,107.22,108.82,46810415
2014-11-20,107.81,112.44,107.26,109.82,36452611
2014-11-21,113.21,113.5,110.4354,110.73,27404233
2014-11-24,112,113.93,111.55,113.92,20598015
2014-11-25,114.94,115.17,112.33,113.47,23484800
2014-11-26,113.33,113.74,112.33,112.67,11832909
2014-11-28,113.14,113.23,111.11,111.64,8077842
2014-12-01,110.02,110.05,103.8961,105.99,38464170
2014-12-02,107.35,110,106.61,109.89,18785046
2014-12-03,110.4,111.68,108.798,110.64,16221061
2014-12-04,110.1,110.5,108.91,109.17,10838699
2014-12-05,109.6,110.35,107.76,107.9,12148064
2014-12-08,105.97,107.4,104.2101,105.07,19191645
2014-12-09,102.27,107.95,101.2,107.48,24848593
2014-12-10,107.09,107.38,103.51,103.88,18425955
2014-12-11,104.44,106.84,104.29,104.97,15677841
2014-12-12,104.7,107.45,104.179,105.11,14518618
2014-12-15,106.39,107.77,103.7,104.7,16521759
2014-12-16,103.75,107.68,103.7,105.77,21682427
2014-12-17,107.11,109.19,106.28,109.02,17311145
2014-12-18,110.58,111.2,108.26,109.25,22771998
2014-12-19,109.93,110.65,108.04,110.65,14857753
2014-12-22,110.63,110.98,108.53,108.77,13024963
2014-12-23,108.3,108.47,103.88,105.52,19085311
2014-12-24,105.68,107.21,105.6,105.95,5870358
2014-12-26,105.99,106.94,105.5,105.95,6525325
2014-12-29,105.95,107.66,105.64,105.98,8068606
2014-12-30,105.64,106.71,105.13,105.75,10205745
2014-12-31,106.46,106.47,103.69,103.94,10283426
2015-01-02,104.24,104.72,102.52,103.6,12295643
