"Index","Open","High","Low","Adjusted","Volume"
2010-04-08,59.1,60.09,58.72,60.09,3650
2010-04-09,60.01,60.07,59.88,60.07,1068
2010-04-12,59.96,60.14,59.58,59.58,2400
2010-04-13,59.54,60.01,59.54,59.98,2800
2010-04-14,60.24,60.79,60.12,60.79,3700
2010-04-15,60.68,60.94,60.68,60.94,2100
2010-04-16,59.8,59.8,59.63,59.63,600
2010-04-19,60,60.59,59,59.91,2350
2010-04-20,60.51,60.51,59.55,60.16,2916
2010-04-21,60.21,60.21,57.6,58.23,2620
2010-04-22,58.15,58.15,55.99,57.28,4042
2010-04-23,58.48,58.5,57.3704,58.39,3534
2010-04-26,58.64,58.7199,57.59,57.59,800
2010-04-27,58.16,58.87,56.01,56.01,1716
2010-04-28,55.75,56.59,55.75,56.59,3500
2010-04-29,58.92,60.68,58.92,59.95,6141
2010-04-30,60.54,60.54,59.02,59.03,900
2010-05-03,59.23,60.57,59.2,60.31,2300
2010-05-04,58.49,58.61,57.5,57.91,1320
2010-05-05,55.5,55.5,54.1699,55.33,840
2010-05-06,54.5,54.5,44,45.345,5900
2010-05-07,53.46,53.46,47.52,48.18,4448
2010-05-10,52.09,52.83,50.9,50.9,2399
2010-05-11,50.26,52.44,50.26,52.44,4280
2010-05-12,52.53,54.25,52.53,54.25,400
2010-05-13,54.25,54.25,54.25,54.25,0
2010-05-14,51.98,51.98,49.91,50.84,1550
2010-05-17,51.34,51.34,49.26,49.26,2100
2010-05-18,52.125,52.125,50.08,50.08,1700
2010-05-19,49.1928,49.1928,49.1928,49.1928,100
2010-05-20,48.26,48.26,45.72,45.77,2900
2010-05-21,44.16,46.255,44.15,45.45,5574
2010-05-24,45.29,46.3201,45.29,45.42,841
2010-05-25,43.14,44.89,43.14,44.89,500
2010-05-26,45.51,45.86,44.21,44.25,2664
2010-05-27,45.83,46.47,45.5444,46.47,1500
2010-05-28,46.47,46.47,46.47,46.47,0
2010-06-01,46.19,46.19,44.51,44.53,400
2010-06-02,46,47.46,45.9999,47.46,600
2010-06-03,47.57,48.4265,47.57,48.42,616
2010-06-04,45.82,45.82,44.71,44.78,611
2010-06-07,45.16,45.16,43.56,43.56,800
2010-06-08,43.68,43.77,41.88,42.5,7200
2010-06-09,42.98,43.6135,42.14,42.14,3400
2010-06-10,43.41,44.74,43.41,44.5,1930
2010-06-11,45.34,45.81,45.34,45.81,500
2010-06-14,45.81,45.81,45.81,45.81,0
2010-06-15,47,48.12,47,48.07,400
2010-06-16,48.29,48.29,47.67,47.72,2088
2010-06-17,47.59,47.89,47.59,47.89,1494
2010-06-18,47.89,47.89,47.89,47.89,0
2010-06-21,47.89,47.89,47.89,47.89,0
2010-06-22,46.9,46.97,45.7,45.7,1600
2010-06-23,45.7,45.7,45.7,45.7,0
2010-06-24,45.11,45.11,45.11,45.11,500
2010-06-25,45.43,46.84,45.43,46.84,1900
2010-06-28,45.7899,46.33,45.7899,46.08,900
2010-06-29,44.7,44.7,42.7,42.84,1150
2010-06-30,43.3352,43.3352,41.7,41.7,200
2010-07-01,40,40,38.52,38.8185,1328
2010-07-02,40.77,40.77,40.77,40.77,100
2010-07-06,41.35,41.81,40.4,40.4,6100
2010-07-07,39.45,40.97,39.44,40.97,300
2010-07-08,41.61,41.61,41.61,41.61,100
2010-07-09,42.23,42.23,42.23,42.23,100
2010-07-12,42.23,42.23,42.23,42.23,100
2010-07-13,42.23,42.23,42.23,42.23,0
2010-07-14,44.0777,44.4845,43.92,43.92,2300
2010-07-15,44.66,45.12,43.92,44.58,1700
2010-07-16,42.48,42.48,42.48,42.48,100
2010-07-19,42.48,42.48,42.48,42.48,0
2010-07-20,40.81,41.2,40.81,41.2,1300
2010-07-21,42.22,42.7,41.68,41.68,3500
2010-07-22,42.93,43.27,42.72,42.97,3200
2010-07-23,42.81,42.81,42.05,42.05,999
2010-07-26,45.8,46.45,45.8,46.45,450
2010-07-27,47.8,47.8,45.68,45.68,2474
2010-07-28,45.37,45.405,43.89,43.89,4399
2010-07-29,44.7,44.7,43.074,43.8,4775
2010-07-30,45.37,45.37,45.07,45.19,1550
2010-08-02,45.97,47.09,45.97,46.88,4700
2010-08-03,47.44,47.44,47.02,47.02,1200
2010-08-04,47.8,48.02,47.8,48.02,200
2010-08-05,47.75,48.0215,47.75,48.0215,350
2010-08-06,48,48,47.05,47.12,600
2010-08-09,48.93,49.294,48.8901,49.19,900
2010-08-10,49.15,49.15,47.96,48.11,400
2010-08-11,47.17,47.17,45.4946,45.66,1300
2010-08-12,45.66,45.66,45.66,45.66,0
2010-08-13,45.66,45.66,45.66,45.66,0
2010-08-16,45.7,45.7,45.7,45.7,199
2010-08-17,46.03,47.02,46.03,46.9,800
2010-08-18,46.59,47.22,45.91,46.52,4382
2010-08-19,44.63,44.63,44.63,44.63,200
2010-08-20,44.46,44.71,44.44,44.67,2000
2010-08-23,45.22,45.22,43.95,43.95,2100
2010-08-24,42.59,42.8,42.35,42.73,1500
2010-08-25,42.29,42.77,41.87,42.77,4800
2010-08-26,43.66,43.66,42.33,42.33,500
2010-08-27,43.21,43.61,43.21,43.52,2700
2010-08-30,43,43,42.67,42.69,1300
2010-08-31,42.82,42.87,42.82,42.87,3300
2010-09-01,42.87,42.87,42.87,42.87,0
2010-09-02,42.87,42.87,42.87,42.87,0
2010-09-03,46.18,46.3601,46.04,46.36,2700
2010-09-07,46.72,46.72,45.65,45.65,1500
2010-09-08,47.05,47.521,47.05,47.521,3020
2010-09-09,47.91,48.31,47.79,47.79,2300
2010-09-10,48.15,49.04,48.15,48.972,6100
2010-09-13,49.97,49.97,48.93,49.41,5901
2010-09-14,49.22,49.38,49.22,49.38,1300
2010-09-15,50.22,50.22,50.2199,50.2199,360
2010-09-16,50.44,50.44,49.45,49.67,3424
2010-09-17,49.7,49.86,49.24,49.86,500
2010-09-20,50.11,51.52,50.11,51.43,5300
2010-09-21,51.61,51.86,51.4,51.5,8690
2010-09-22,51.42,51.42,51.08,51.08,800
2010-09-23,51.37,51.37,50.56,50.56,547
2010-09-24,51.86,52.25,51.58,52.25,3800
2010-09-27,52.13,52.16,51.38,51.38,2000
2010-09-28,50.75,51.77,50.75,51.77,1057
2010-09-29,51.25,51.25,51.25,51.25,1000
2010-09-30,51.25,51.25,51.25,51.25,0
2010-10-01,50.85,51.22,50.67,51.2,765
2010-10-04,50.57,50.64,50.3595,50.38,3443
2010-10-05,51.86,51.86,51.86,51.86,200
2010-10-06,52.94,52.94,51.788,51.788,793
2010-10-07,51.79,51.79,51.79,51.79,100
2010-10-08,51.73,53.09,51.73,52.88,1721
2010-10-11,52.88,52.88,52.88,52.88,0
2010-10-12,53.07,53.07,53.07,53.07,200
2010-10-13,53.07,53.07,53.07,53.07,0
2010-10-14,54.04,54.04,53.39,53.39,800
2010-10-15,52.33,54.3,52.33,54.3,1700
2010-10-18,54.89,54.89,54.68,54.68,2606
2010-10-19,54.68,54.68,54.68,54.68,0
2010-10-20,53.89,53.89,53.89,53.89,900
2010-10-21,54.15,54.15,54.09,54.09,2900
2010-10-22,53.52,53.52,53.52,53.52,200
2010-10-25,54.81,54.81,54.77,54.78,1500
2010-10-26,53.05,53.05,53.05,53.05,100
2010-10-27,53.54,53.91,53.54,53.91,1030
2010-10-28,54.96,55.22,54.9,55.22,2350
2010-10-29,55.27,55.27,55.27,55.27,724
2010-11-01,53.95,53.95,53.93,53.93,2000
2010-11-02,53.93,53.93,53.93,53.93,0
2010-11-03,54.52,54.52,54.52,54.52,300
2010-11-04,56.11,56.11,54.84,54.84,500
2010-11-05,54.55,54.55,53.526,54.11,2400
2010-11-08,53.5,53.5268,53.434,53.5268,3126
2010-11-09,52.9,52.93,52.524,52.7099,3993
2010-11-10,52.7099,52.7099,52.7099,52.7099,0
2010-11-11,53.23,53.24,52.9101,52.9101,2100
2010-11-12,51.96,52.2101,51.96,52.2101,1394
2010-11-15,53.05,53.39,53.05,53.2899,885
2010-11-16,53.2899,53.2899,53.2899,53.2899,0
2010-11-17,52.03,52.03,52.03,52.03,479
2010-11-18,53.87,53.87,53.87,53.87,350
2010-11-19,53.87,54.02,53.22,54.02,3485
2010-11-22,54.02,54.02,54.02,54.02,100
2010-11-23,54.02,54.02,54.02,54.02,0
2010-11-24,54.02,54.02,54.02,54.02,0
2010-11-26,54.02,54.02,54.02,54.02,0
2010-11-29,54.02,54.02,54.02,54.02,0
2010-11-30,52.62,52.62,52.62,52.62,100
2010-12-01,52.62,52.62,52.62,52.62,0
2010-12-02,53.98,54.1,53.95,54.1,1816
