"Index","Open","High","Low","Adjusted","Volume"
2000-01-03,25.69,26.31,24.25,24.31,35172000
2000-01-04,23.38,24.44,23.12,23.25,37053000
2000-01-05,23,23.25,22.25,22.87,26406000
2000-01-06,22.31,23.62,22.31,23.19,20393000
2000-01-07,23,24.12,22.94,23.94,20871000
2000-01-10,23.56,23.75,22,22,28704000
2000-01-11,21.94,22.19,21.12,21.31,29453000
2000-01-12,22.69,23.06,22,23,30967000
2000-01-13,23,23.19,22.5,23,17950000
2000-01-14,23.44,24.25,23,23.31,36357000
2000-01-18,23.25,23.38,22.44,22.5,23611000
2000-01-19,22.5,23.06,22.44,22.63,20178000
2000-01-20,22.13,22.63,21.5,22.63,26761000
2000-01-21,21.75,21.88,20.62,20.75,26503000
2000-01-24,20.44,20.88,19.87,20.13,29705000
2000-01-25,20.37,21.19,20.06,20.94,21124000
2000-01-26,20.88,21.44,20.56,20.81,25618000
2000-01-27,20.56,21.25,20.56,21,20061000
2000-01-28,20.88,20.88,19.62,19.87,22720000
2000-01-31,19.87,20.19,19.13,19.94,22773000
2000-02-01,19.75,21.88,19.75,21.75,43835000
2000-02-02,22,23.5,21.44,22.37,57355000
2000-02-03,23.25,23.31,20.81,21.06,68311000
2000-02-04,20.62,21.56,20.56,21.31,43890000
2000-02-07,21.69,21.69,21.31,21.38,21197000
2000-02-08,21.44,21.69,20.88,21,37501000
2000-02-09,21.06,21.06,19.94,20,24637000
2000-02-10,19.94,20,18.31,18.69,67011000
2000-02-11,18.31,18.56,17.75,18.06,69637000
2000-02-14,18,18,17.19,17.94,50288000
2000-02-15,17.94,18.31,17.88,18,33721000
2000-02-16,18.12,18.25,17.25,17.25,31083000
2000-02-17,17.63,18.62,17.63,18.5,38408000
2000-02-18,18.5,18.5,17.06,17.19,41354000
2000-02-22,17.25,17.5,16.5,17.5,32620000
2000-02-23,17.44,17.5,16.88,16.94,17205000
2000-02-24,16.69,17.31,16.44,17.12,27852000
2000-02-25,17.56,17.56,16.94,17,17266000
2000-02-28,17,17.19,16.44,16.75,28258000
2000-02-29,17.19,18.06,16.81,17.81,25301000
2000-03-01,17.81,17.81,17.19,17.37,25255000
2000-03-02,17.37,17.44,16.81,17.12,20165000
2000-03-03,17.25,17.69,17.06,17.56,24543000
2000-03-06,18,18,17.06,17.25,18604000
2000-03-07,17.25,17.31,16.06,16.19,31149000
2000-03-08,16.44,16.81,16.31,16.38,25134000
2000-03-09,16.38,18,15.62,17.5,57413000
2000-03-10,18.31,19.38,17.88,18.12,93036000
2000-03-13,17.69,17.94,17.25,17.56,39290000
2000-03-14,18,18.31,17.31,17.63,35535000
2000-03-15,17.56,17.69,17.19,17.19,22990000
2000-03-16,17.25,17.44,16.81,17.25,53241000
2000-03-17,17.06,17.81,16.88,16.94,42486000
2000-03-20,17,17.37,16.88,17.31,24769000
2000-03-21,17.5,18,17.37,18,32602000
2000-03-22,17.94,18.19,17.06,17.63,26448000
2000-03-23,17.5,17.69,17.31,17.63,13333000
2000-03-24,17.5,18.06,17.44,17.69,23873000
2000-03-27,18.19,18.5,18,18.5,39951000
2000-03-28,18.25,19.5,18.25,18.94,61669000
2000-03-29,19.06,19.31,18.37,18.5,36432000
2000-03-30,18.69,18.81,17.56,17.88,22937000
2000-03-31,18.12,18.81,17.94,18.69,38301000
2000-04-03,18.5,19.19,18.5,18.75,21095000
2000-04-04,19.19,19.25,17,17.25,39090000
2000-04-05,17.31,18.56,17.31,17.88,30219000
2000-04-06,17.88,18.31,17.63,18,26785000
2000-04-07,17.88,18.12,17.56,17.81,16473000
2000-04-10,18.62,18.94,18.25,18.5,37915000
2000-04-11,18.19,18.31,17.56,17.75,23364000
2000-04-12,17.81,18.19,17.63,17.63,21921000
2000-04-13,17.88,17.88,17,17,20303000
2000-04-14,16.69,16.75,15.75,15.87,35436000
2000-04-17,15.81,16.31,15.38,15.81,38821000
2000-04-18,15.94,17,15.44,17,37330000
2000-04-19,16.19,16.38,15.06,15.19,47082000
2000-04-20,15.31,15.75,14.87,15.25,60100000
2000-04-24,15,15.38,14.5,15,30401000
2000-04-25,15.31,15.87,15.25,15.75,21425000
2000-04-26,15.94,16.12,15.31,15.31,19871000
2000-04-27,14.75,15.25,14.69,15.13,32305000
2000-04-28,15.31,15.56,15.19,15.44,21025000
2000-05-01,15.31,15.56,15.06,15.44,12903000
2000-05-02,15.25,15.44,14.75,15,62119000
2000-05-03,14.94,15,14.44,14.55,22664000
2000-05-04,14.81,14.87,14.62,14.62,16615000
2000-05-05,14.56,14.81,14.13,14.62,21710000
2000-05-08,14.5,14.87,14.5,14.62,10708000
2000-05-09,14.56,14.75,14.19,14.31,14588000
2000-05-10,14.25,14.31,13.88,13.94,16433000
2000-05-11,14,14.31,13.88,13.94,17445000
2000-05-12,14.13,14.56,14,14.19,14608000
2000-05-15,14.38,14.44,14.13,14.38,19271000
2000-05-16,14.5,14.87,14.31,14.81,17826000
2000-05-17,14.56,15.5,14.56,15.19,30765000
2000-05-18,15.44,15.81,15.13,15.13,31596000
2000-05-19,15.06,15.69,15,15.13,32165000
2000-05-22,15.06,15.25,13.81,14.25,27253000
2000-05-23,14.44,14.5,13.44,13.75,27166000
2000-05-24,13.5,13.56,12.81,13.5,27193000
2000-05-25,13.56,14.44,13.37,13.56,41590000
2000-05-26,13.56,13.75,13,13.06,17795000
2000-05-30,13.44,13.44,12.88,13.19,17186000
2000-05-31,13,13.31,12.88,13.25,26354000
2000-06-01,13.37,13.37,12.94,13.12,27206000
2000-06-02,13.25,13.56,13.12,13.37,33863000
2000-06-05,13.19,13.31,12.63,12.69,36953000
2000-06-06,12.75,13.12,12.56,13,33197000
2000-06-07,13,13.12,12.5,12.63,25762000
2000-06-08,12.63,12.88,12.37,12.63,46409000
2000-06-09,12.75,13.25,12.63,12.69,37466000
2000-06-12,12.94,12.94,12.25,12.37,21404000
2000-06-13,12.06,12.63,11.84,12.16,32186000
2000-06-14,12.37,12.56,11.94,12.44,27661000
2000-06-15,13.37,13.75,13.12,13.5,66961000
2000-06-16,13.62,13.69,13.03,13.5,29020000
2000-06-19,13.19,13.44,12.81,13.37,20451000
2000-06-20,13.06,13.25,12.75,12.94,13180000
2000-06-21,12.75,12.88,12.63,12.81,12671000
2000-06-22,12.75,12.81,12.37,12.63,21136000
2000-06-23,12.37,12.63,12.31,12.5,10759000
2000-06-26,12.5,12.69,12.25,12.44,11960000
2000-06-27,12.44,13,12.37,12.88,24881000
2000-06-28,13.69,15,13.56,15,104836000
2000-06-29,14.75,14.94,14.38,14.87,71389000
2000-06-30,14.94,15,13.81,14,31070000
2000-07-03,14.25,14.75,14.06,14.75,10160000
2000-07-05,14.75,14.75,14.06,14.56,23433000
2000-07-06,14.44,14.5,14.19,14.38,14844000
2000-07-07,14.69,14.69,14.25,14.44,17061000
2000-07-10,14.5,14.81,14,14.19,13406000
2000-07-11,14,14.13,13.75,13.94,23923000
2000-07-12,13.75,14.38,13.56,13.94,19255000
2000-07-13,13.81,14.19,13.81,14.13,14171000
2000-07-14,14,14.62,13.94,14.5,16748000
2000-07-17,14.5,14.75,14.25,14.69,19502000
2000-07-18,14.31,14.62,13.75,13.75,22288000
2000-07-19,14.25,14.69,14,14,21977000
2000-07-20,14.25,14.31,13.5,13.88,49359000
2000-07-21,13.81,13.81,13.5,13.56,23387000
2000-07-24,13.88,13.88,13,13.44,35105000
2000-07-25,13.19,13.31,13,13.31,17269000
2000-07-26,13.12,13.19,12.31,12.31,47180000
2000-07-27,12.5,12.63,12.19,12.19,43596000
2000-07-28,12.19,12.44,12.19,12.44,35011000
2000-07-31,12.5,12.94,12.5,12.81,32386000
2000-08-01,13,13.06,12.75,12.88,30715000
2000-08-02,12.75,12.94,12.63,12.75,18973000
2000-08-03,12.12,12.69,12.12,12.69,24178000
2000-08-04,12.88,13.37,12.81,13.37,29043000
2000-08-07,13.25,13.37,13.06,13.37,15411000
2000-08-08,13.31,13.69,12.94,13.12,16996000
2000-08-09,13.19,13.37,13.06,13.25,21320000
2000-08-10,13.12,13.31,12.56,12.69,30797000
2000-08-11,13,13.06,12.88,13,24832000
2000-08-14,13.06,13.44,12.94,13.31,18398000
2000-08-15,13.25,13.56,12.94,12.94,27024000
2000-08-16,13.31,13.31,12.94,13.06,22811000
2000-08-17,13,13.06,12.81,12.81,18837000
2000-08-18,12.88,12.94,12.5,12.69,29569000
2000-08-21,12.56,13,12.56,13,17746000
2000-08-22,12.88,13.12,12.69,12.81,16529000
2000-08-23,12.75,12.94,12.63,12.63,17703000
2000-08-24,12.81,12.94,12.63,12.81,13781000
2000-08-25,13,13.19,12.94,13.12,21948000
2000-08-28,13.25,13.25,12.94,13.06,31999000
2000-08-29,13.06,13.12,12.88,12.88,22574000
2000-08-30,12.88,13.37,12.88,13.06,29755000
2000-08-31,13.12,13.31,13,13.2,34027000
2000-09-01,13.25,13.37,12.94,12.94,17074000
2000-09-05,13,14.875,12.875,14.875,2374800
2000-09-06,13,13.31,13,13,21358000
2000-09-07,13.06,13.12,12.94,13,18435000
2000-09-08,13,13.12,12.75,12.75,21693000
2000-09-11,13,13.19,12.88,13.06,13468000
2000-09-12,12.94,13.06,12.75,13,13710000
2000-09-13,12.81,12.88,12.63,12.81,17538000
2000-09-14,12.75,12.94,12.5,12.63,13756000
2000-09-15,12.56,12.75,12.37,12.69,16300000
2000-09-18,12.5,12.63,12,12,21308000
2000-09-19,12.19,12.25,11.75,11.75,26771000
2000-09-20,11.88,11.94,11.25,11.5,33212000
2000-09-21,11.69,11.69,10.62,11.25,41320000
2000-09-22,10.87,11.25,10.62,10.75,33718000
2000-09-25,11,11.06,10.69,10.75,24914000
2000-09-26,10.875,10.9375,10.625,10.75,1460100
2000-09-27,10.9375,11.125,10.5,10.625,2247500
2000-09-28,10.69,11.25,10.62,11.25,19184000
2000-09-29,11.12,11.12,10.75,10.87,16628000
2000-10-02,10.94,10.94,10.5,10.62,23399000
2000-10-03,10.75,10.75,10.13,10.19,19935000
2000-10-04,10.19,10.56,10.06,10.38,29195000
2000-10-05,10.44,10.75,10.38,10.44,24607000
2000-10-06,10.44,10.44,9.75,9.88,37090000
2000-10-09,9.94,10,9.75,10,13152000
2000-10-10,10,10.13,9.5,9.69,24966000
2000-10-11,9.62,9.62,9.13,9.44,36015000
2000-10-12,9.5,9.5,8.81,9.19,22065000
2000-10-13,9.06,9.19,8.75,9.06,20940000
2000-10-16,9.19,9.69,9.06,9.5,23449000
2000-10-17,9.44,9.62,8.87,8.94,21465000
2000-10-18,8.56,8.63,8.12,8.5,33929000
2000-10-19,9.31,9.88,8.94,9.75,88333000
2000-10-20,9.5,10.25,9.44,9.81,35726000
2000-10-23,9.94,10.19,9.81,9.81,21548000
2000-10-24,10,10.19,9.88,10,21606000
2000-10-25,9.94,10,9.69,9.75,10821000
2000-10-26,10.13,10.44,9.62,9.94,36998000
2000-10-27,10.5,11.12,10.06,10.94,49995000
2000-10-30,11.19,12.19,11.06,11.88,48108000
2000-10-31,11.94,12.31,11.88,12,32603000
2000-11-01,12.06,12.44,11.63,12.06,23620000
2000-11-02,12,12.75,12,12.19,24031000
2000-11-03,12.31,12.75,12.25,12.56,19421000
2000-11-06,12.69,12.75,12.44,12.56,16498000
2000-11-07,12.5,12.56,11.75,12.31,21729000
2000-11-08,12,12.37,12,12.37,17158000
2000-11-09,11.88,12.25,11.88,12.19,21885000
2000-11-10,12,12.19,11.94,12,19458000
2000-11-13,11.69,11.81,10.75,11.5,36072000
2000-11-14,11.25,11.38,10.62,10.69,51583000
2000-11-15,10.69,11,10.44,10.94,44041000
2000-11-16,10.87,10.87,10.38,10.56,157061000
2000-11-17,10.56,10.62,10,10.13,34477000
2000-11-20,10.19,10.25,9.62,9.88,17476000
2000-11-21,9.81,9.88,9.5,9.75,23120000
2000-11-22,9.56,9.62,8.94,9.25,41598000
2000-11-24,9.62,9.75,9.38,9.62,8833000
2000-11-27,9.69,9.81,9.31,9.38,29308000
2000-11-28,9.56,9.88,9.5,9.56,21289000
2000-11-29,9.44,9.56,9.25,9.44,25271000
2000-11-30,9.38,9.44,8.75,9.19,30331000
2000-12-01,9.31,9.44,9.13,9.25,21046000
2000-12-04,9.19,9.25,8.75,8.87,17495000
2000-12-05,8.81,9.38,8.69,9.38,48560000
2000-12-06,9.38,9.44,9.19,9.31,25661000
2000-12-07,9.25,9.31,9,9.19,21056000
2000-12-08,9.38,9.38,9.13,9.31,23876000
2000-12-11,9.25,10.19,9.13,10.06,23131000
2000-12-12,10,10.5,10,10.38,24565000
2000-12-13,10.81,10.94,10.56,10.75,29908000
2000-12-14,10.62,10.69,10.31,10.56,16203000
2000-12-15,10.13,10.31,9.88,10.06,20882000
2000-12-18,9.94,10.25,9.69,10.06,19914000
2000-12-19,9.81,10,9.44,9.62,22084000
2000-12-20,8.94,9.5,8.63,9.5,43623000
2000-12-21,9,9.19,8.81,8.94,25393000
2000-12-22,8.94,9.44,8.94,9.38,29643000
2000-12-26,9.31,9.5,9,9.06,23575000
2000-12-27,9.19,9.62,9.13,9.38,44453000
2000-12-28,9.38,9.44,9.13,9.38,35836000
2000-12-29,9.31,9.81,9.13,9.62,67048000
2001-01-02,9.75,10,9.62,9.62,18149000
2001-01-03,9.81,11.56,9.81,11.31,62880000
2001-01-04,11.25,11.81,11,11.31,47928000
2001-01-05,11.63,11.69,10.87,11.25,31213000
2001-01-08,11.31,11.63,10.87,11,32396000
2001-01-09,11.06,11.38,11,11.19,27116000
2001-01-10,11.25,11.69,11.12,11.63,19243000
2001-01-11,11.44,11.94,11.38,11.88,17881000
2001-01-12,11.88,12.5,11.75,12.5,30418000
2001-01-16,12.31,12.44,12.06,12.37,14386000
2001-01-17,12.37,12.94,12.31,12.81,30065000
2001-01-18,12.44,14,12.44,13.37,55768000
2001-01-19,13.31,13.37,12.81,13.06,30604000
2001-01-22,12.88,13.12,12.56,12.88,19536000
2001-01-23,12.88,13.25,12.81,13.19,20256000
2001-01-24,13.25,13.62,13.12,13.25,28120000
2001-01-25,13.37,13.69,12.88,13,26438000
2001-01-26,12.94,13,12.63,12.63,18684000
2001-01-29,12.63,13.1,12.54,12.86,19038000
