"Index","Open","High","Low","Adjusted","Volume"
2010-01-22,13.3,13.3,12.88,12.954,27118
2010-01-25,13.25,13.25,12.96,13.03,9693
2010-01-26,12.59,12.83,12.55,12.7,39906
2010-01-27,12.48,12.55,12.3601,12.51,5204
2010-01-28,12.62,12.7,12.416,12.582,13102
2010-01-29,12.82,12.84,12.5625,12.5625,9554
2010-02-01,12.89,13.02,12.8875,12.992,45005
2010-02-02,12.96,13.1,12.89,13.03,18062
2010-02-03,13.22,13.23,13.0335,13.13,593592
2010-02-04,12.88,12.88,12.49,12.49,70001
2010-02-05,12.33,12.395,12.06,12.334,28115
2010-02-08,12.28,12.45,12.2,12.2,202754
2010-02-09,12.5,12.72,12.3975,12.52,37488
2010-02-10,12.69,12.81,12.55,12.6,58240
2010-02-11,12.83,13.05,12.79,13.04,4613
2010-02-12,12.89,12.8925,12.73,12.8475,12201
2010-02-16,12.9075,13.09,12.907,13.0875,5367
2010-02-17,13.12,13.13,13.03,13.11,5825
2010-02-18,13.049,13.0955,12.9675,13.0955,7254
2010-02-19,12.84,12.975,12.84,12.926,32986
2010-02-22,12.89,12.93,12.86,12.88,6087
2010-02-23,12.86,12.86,12.67,12.7,10082
2010-02-24,12.86,13.07,12.86,12.97,11907
2010-02-25,12.75,12.81,12.71,12.7915,7931
2010-02-26,12.93,13.08,12.92,13.0701,12464
2010-03-01,13.47,13.516,13.459,13.5,19613
2010-03-02,13.72,13.775,13.67,13.71,52057
2010-03-03,13.74,13.87,13.683,13.73,467742
2010-03-04,13.52,13.54,13.43,13.53,12307
2010-03-05,13.77,13.9,13.716,13.86,23009
2010-03-08,13.99,14.07,13.9475,14.02,561325
2010-03-09,14.02,14.26,14.02,14.11,54791
2010-03-10,14.23,14.27,14.15,14.1865,124364
2010-03-11,14.01,14.1,13.94,14.1,14074
2010-03-12,14,14.02,13.9001,13.916,11654
2010-03-15,13.79,13.83,13.7101,13.83,16859
2010-03-16,13.68,13.85,13.68,13.85,25890
