"Index","Open","High","Low","Adjusted","Volume"
2010-04-20,14.9,14.9,14.65,14.6799,5815
2010-04-21,14.6,14.7,14.41,14.4499,8620
2010-04-22,14.39,14.39,14.174,14.37,10761
2010-04-23,14.32,14.42,14.25,14.42,3250
2010-04-26,14.96,14.96,14.4,14.64,10775
2010-04-27,14.35,14.4,13.91,13.91,20200
2010-04-28,14.08,14.08,13.77,13.94,15360
2010-04-29,14.06,14.06,13.95,13.95,54350
2010-04-30,14.18,14.18,13.62,13.62,40400
2010-05-03,13.45,13.65,13.31,13.42,4821
2010-05-04,13.17,13.17,12.4401,12.56,10834
2010-05-05,12.0001,12.48,11.93,12.3301,6200
2010-05-06,12.28,12.3176,11.36,11.736,5812
2010-05-07,11.99,11.99,11.5,11.714,8400
2010-05-10,12.67,12.72,12.6,12.68,7500
2010-05-11,12.57,12.64,12.5,12.5,5232
2010-05-12,12.67,12.67,12.51,12.62,98115
2010-05-13,12.86,12.92,12.69,12.71,7785
2010-05-14,12.45,12.45,12.05,12.21,11841
2010-05-17,12.36,12.36,11.38,11.7,6928
2010-05-18,11.99,11.99,11.4101,11.4101,10453
2010-05-19,11.1,11.14,10.7545,11.0301,2300
2010-05-20,10.8,10.8,10.31,10.44,6960
2010-05-21,10.88,11.096,10.88,11.07,4180
2010-05-24,11.19,11.21,11.03,11.03,3163
2010-05-25,10.45,10.88,10.37,10.88,15751
2010-05-26,11.305,11.35,11.24,11.25,2844
2010-05-27,11.66,12.01,11.66,12.01,7228
2010-05-28,11.85,11.85,11.66,11.75,4763
2010-06-01,11,11.6446,11,11.57,2200
2010-06-02,11.56,11.74,11.56,11.74,2045
2010-06-03,11.99,11.99,11.4,11.54,25709
2010-06-04,11.2,11.2,10.8099,10.8399,6350
2010-06-07,11.19,11.19,10.428,10.46,26184
2010-06-08,10.6,10.735,10.4918,10.735,5825
2010-06-09,11.09,11.11,10.79,10.79,25884
2010-06-10,11.1938,11.46,11.1938,11.4119,5417
2010-06-11,11.54,11.54,11.36,11.4,10265
2010-06-14,11.89,11.92,11.76,11.8,2380
2010-06-15,11.94,11.95,11.76,11.95,12222
2010-06-16,11.85,12.016,11.78,11.9799,11280
2010-06-17,11.85,11.9399,11.77,11.77,4100
2010-06-18,12.36,12.36,11.19,11.86,4930
2010-06-21,12.5,12.5,12.06,12.06,14020
2010-06-22,11.96,12.07,11.75,11.75,4100
2010-06-23,12.28,12.28,11.5,11.68,10970
2010-06-24,11.68,11.68,11.68,11.68,0
2010-06-25,11.68,11.68,11.35,11.45,3800
2010-06-28,11.46,11.4601,11.4,11.4,520
2010-06-29,11.22,11.22,10.68,10.6999,13075
2010-06-30,10.7,10.71,10.39,10.39,3650
2010-07-01,10.35,10.41,10,10.386,28432
2010-07-02,10.51,10.51,10.4499,10.5087,4198
2010-07-06,10.59,10.8199,10.59,10.61,4273
2010-07-07,10.74,11.165,10.74,11.165,3400
2010-07-08,11.21,11.21,11.16,11.16,600
2010-07-09,11.35,11.66,11.35,11.63,15429
2010-07-12,11.67,11.67,11.67,11.67,200
2010-07-13,11.61,11.93,11.61,11.91,7750
2010-07-14,11.8,11.8,11.7401,11.7401,1000
2010-07-15,11.63,11.63,11.56,11.56,500
2010-07-16,11.48,11.48,11.26,11.3599,7500
2010-07-19,11.3599,11.3599,11.3599,11.3599,0
2010-07-20,11.6365,11.82,11.636,11.82,5400
2010-07-21,11.94,12,11.94,12,800
2010-07-22,12.24,12.54,12.24,12.5,5995
2010-07-23,12.78,12.78,12.42,12.65,14183
2010-07-26,13.01,13.01,12.72,12.8,3900
2010-07-27,12.84,13.03,12.7,12.82,9950
2010-07-28,12.8172,12.83,12.78,12.78,2967
2010-07-29,12.87,12.99,12.71,12.8035,2781
2010-07-30,12.5805,12.92,12.58,12.92,2399
2010-08-02,13.13,13.36,13.13,13.3024,34358
2010-08-03,13.38,13.395,13.2599,13.3001,3550
2010-08-04,13.42,13.491,13.37,13.49,9804
2010-08-05,13.43,13.4301,13.35,13.35,1475
2010-08-06,13.35,13.44,13.22,13.37,8032
2010-08-09,13.56,13.56,13.38,13.4153,4053
2010-08-10,13.0328,13.19,12.85,13.1524,29536
2010-08-11,12.73,12.73,12.4,12.4,1675
2010-08-12,12.26,12.41,12.26,12.3399,3319
2010-08-13,12.42,12.42,12.35,12.35,1850
2010-08-16,12.4,12.48,12.4,12.44,2300
2010-08-17,12.82,12.98,12.81,12.98,6064
2010-08-18,13,13,12.7501,12.92,7049
2010-08-19,12.92,12.92,12.6024,12.6024,1215
2010-08-20,12.46,12.46,12.32,12.42,5455
2010-08-23,12.42,12.47,12.32,12.4399,1998
2010-08-24,12.06,12.07,11.87,12.01,4104
2010-08-25,11.8,12.03,11.73,12.03,8203
2010-08-26,12.23,12.2836,12.07,12.1,6620
2010-08-27,12.32,12.54,12.32,12.53,11075
2010-08-30,12.7,12.7,12.51,12.51,1750
2010-08-31,12.46,12.6,12.35,12.4,7000
2010-09-01,13,13.33,12.99,13.2972,15215
2010-09-02,13.34,13.3505,13.3046,13.33,7525
2010-09-03,13.66,13.68,13.51,13.5501,5400
2010-09-07,13.49,13.55,13.28,13.38,10698
2010-09-08,13.63,13.67,13.5101,13.5101,54363
2010-09-09,13.77,13.77,13.55,13.61,5533
2010-09-10,13.65,13.69,13.58,13.68,11104
2010-09-13,13.97,14.22,13.939,14.22,9369
2010-09-14,14.09,14.4,14.09,14.2501,12379
2010-09-15,14.2,14.27,14.1896,14.25,4495
2010-09-16,14.27,14.32,14.24,14.32,8565
2010-09-17,14.45,14.47,14.31,14.42,5060
2010-09-20,14.5,14.71,14.5,14.71,4852
2010-09-21,14.6699,14.7288,14.4201,14.614,6172
2010-09-22,14.86,14.95,14.82,14.82,12150
2010-09-23,14.67,14.91,14.36,14.7306,8485
2010-09-24,15.05,15.29,14.34,15.27,34434
2010-09-27,15.37,15.41,15.27,15.2951,53250
2010-09-28,15.36,15.48,15.06,15.46,17426
2010-09-29,15.33,15.57,15.33,15.51,50125
2010-09-30,15.63,15.6672,15.22,15.41,13150
2010-10-01,15.49,15.83,15.49,15.81,20340
2010-10-04,15.78,15.79,15.431,15.554,44216
2010-10-05,15.79,16.1,15.773,16.08,98843
2010-10-06,16.32,16.5,16.2613,16.47,294559
2010-10-07,16.56,16.56,15.91,16.11,302689
2010-10-08,16.25,16.6,16.216,16.58,68588
2010-10-11,16.9,16.9,16.6,16.6384,164421
2010-10-12,16.65,16.6699,16.35,16.65,402776
2010-10-13,17.2,17.36,16.88,17.25,223047
2010-10-14,17.37,17.49,17.1,17.21,164425
2010-10-15,17.34,17.34,16.86,17.14,163113
2010-10-18,16.93,16.94,16.59,16.9199,174858
2010-10-19,16.36,16.36,16,16.0854,171647
2010-10-20,16.03,16.62,15.86,16.52,115664
2010-10-21,16.89,16.89,16.35,16.5899,263303
2010-10-22,16.56,16.6599,16.4701,16.54,189487
2010-10-25,17.13,17.21,17,17.0299,47141
2010-10-26,16.8,16.95,16.65,16.92,30850
2010-10-27,16.57,16.57,16.21,16.34,191660
2010-10-28,16.46,16.62,16.411,16.54,171201
2010-10-29,16.54,16.73,16.54,16.7,32136
2010-11-01,16.8,17.16,16.7,16.943,88318
2010-11-02,17.2,17.25,17.13,17.24,32311
2010-11-03,17.2,17.2,16.787,17.13,69780
2010-11-04,17.91,18.2,17.62,18.06,273509
2010-11-05,18.3,18.49,18.16,18.35,344048
2010-11-08,18.33,18.38,18.14,18.32,206653
2010-11-09,18.73,18.74,17.93,18.02,302434
2010-11-10,18.21,18.62,17.6,18.11,130163
2010-11-11,18.4,18.4,18.05,18.39,151287
2010-11-12,18,18.1,17.49,17.73,180023
2010-11-15,17.8,17.88,17.51,17.51,51635
2010-11-16,17.23,17.23,16.51,16.73,234955
2010-11-17,16.7,17.012,16.68,16.858,155683
2010-11-18,17.24,17.65,17.15,17.58,156590
2010-11-19,17.46,17.62,17.25,17.58,35672
2010-11-22,17.64,17.64,17.301,17.51,133363
2010-11-23,17.15,17.24,16.71,16.88,62731
2010-11-24,17.18,17.36,17.12,17.29,217505
2010-11-26,17.36,17.36,16.88,16.97,265691
2010-11-29,16.94,16.94,16.55,16.87,45787
2010-11-30,16.65,16.82,16.44,16.716,227083
2010-12-01,17.17,17.47,17.01,17.45,148863
2010-12-02,17.71,17.98,17.6,17.96,85210
2010-12-03,18.02,18.23,17.97,18.19,223400
2010-12-06,19.03,19.03,18.23,18.46,215078
2010-12-07,19.05,19.34,18.8,18.82,295794
2010-12-08,18.94,18.94,18.306,18.5154,169379
2010-12-09,18.94,18.94,18.55,18.68,118223
2010-12-10,18.71,19.03,18.6,19.01,121189
2010-12-13,19.4,19.6,19.318,19.36,420318
2010-12-14,19.48,19.484,19.25,19.393,433275
2010-12-15,19.34,19.38,18.96,18.96,336217
2010-12-16,19.01,19.08,18.59,18.78,90068
2010-12-17,18.96,19,18.78,18.9,87799
2010-12-20,19.13,19.147,18.7901,18.93,109609
2010-12-21,19.26,19.26,19.0527,19.194,141224
2010-12-22,19.34,19.4,19.2,19.27,247690
2010-12-23,19.39,19.39,19.1,19.27,117898
2010-12-27,19.3,19.97,19.05,19.17,81504
2010-12-28,19.42,20.4,19.31,19.6672,184543
2010-12-29,20.26,20.34,19.41,19.63,444121
2010-12-30,19.77,19.78,19.5,19.66,156268
2010-12-31,19.77,19.93,19.66,19.9,132845
2011-01-03,20.33,20.39,20.01,20.27,361990
2011-01-04,20.6,20.6,19.46,19.83,493319
2011-01-05,19.62,19.76,19.25,19.6,238677
2011-01-06,19.5,19.91,19.3403,19.4,143450
2011-01-07,19.3,19.35,19,19.18,164196
2011-01-10,18.98,19.08,18.8,19.08,98130
2011-01-11,19.22,19.6494,19.22,19.6,157873
2011-01-12,20.15,20.24,19.96,20.2078,205973
2011-01-13,20.55,20.55,20.11,20.14,236596
2011-01-14,20,20.17,19.88,20.17,109773
2011-01-18,20.38,20.5,20.28,20.487,173349
2011-01-19,20.55,20.73,20,20.08,272808
2011-01-20,19.65,19.69,19.02,19.29,373552
2011-01-21,19.7,19.7,19.19,19.2,128529
2011-01-24,19.24,19.42,19.06,19.32,89906
2011-01-25,19,19.145,18.75,19.02,202731
2011-01-26,18.99,19.5,18.94,19.42,100733
2011-01-27,19.66,19.68,19.22,19.41,112616
2011-01-28,19.31,19.31,18.8,18.87,97395
2011-01-31,19,19.1499,18.8,19.08,72002
2011-02-01,19.47,19.97,19.34,19.9301,147396
2011-02-02,19.94,20.1882,19.76,20.17,131846
2011-02-03,20.44,20.44,20.03,20.361,196127
2011-02-04,20.4,20.54,20.22,20.41,81701
2011-02-07,20.47,20.75,20.47,20.54,151928
2011-02-08,20.5,20.5797,20.33,20.5,153702
2011-02-09,20.45,20.48,19.81,19.99,147345
2011-02-10,19.71,19.9,19.39,19.7992,99837
2011-02-11,19.55,20.03,19.51,19.95,263043
2011-02-14,19.96,20.2999,19.96,20.25,94061
2011-02-15,20.21,20.23,19.89,19.96,184416
2011-02-16,19.99,20.2,19.91,20.16,83521
2011-02-17,19.95,20.024,19.76,19.87,146982
2011-02-18,19.84,19.85,19.5,19.56,207350
2011-02-22,19.07,19.55,18.58,18.62,260478
2011-02-23,18.68,18.73,18.16,18.42,1042003
2011-02-24,18.56,18.87,18.31,18.51,81544
2011-02-25,18.76,19.05,18.76,19.05,53880
2011-02-28,19.34,19.57,19.3001,19.5,92968
2011-03-01,19.7,19.76,19.2177,19.3,94147
2011-03-02,19.24,19.46,19.24,19.4,53335
2011-03-03,19.79,19.79,19.56,19.76,203609
2011-03-04,19.76,19.79,19.46,19.59,95833
2011-03-07,19.65,19.71,18.95,19.0708,164278
2011-03-08,18.91,19.05,18.65,18.9301,70233
2011-03-09,18.91,18.91,18.46,18.48,93236
2011-03-10,18.01,18.1,17.58,17.68,393036
2011-03-11,17.37,18.1,17.37,18.02,395295
2011-03-14,17.91,18,17.69,17.88,115652
2011-03-15,17,17.73,16.51,17.635,247368
2011-03-16,17.95,17.95,17.091,17.29,160099
2011-03-17,17.81,18.05,17.7,18.05,117031
2011-03-18,18.34,18.47,18.25,18.32,76184
2011-03-21,18.6,18.78,18.45,18.56,147808
2011-03-22,18.64,18.64,18.29,18.36,176736
2011-03-23,18.55,19.13,18.5,18.99,177222
2011-03-24,19.22,19.35,19.1,19.18,133773
2011-03-25,19.27,19.31,18.95,18.95,100426
2011-03-28,18.87,19.08,18.78,18.87,101321
2011-03-29,18.9,18.9599,18.71,18.9244,51113
2011-03-30,19.25,19.3,19.12,19.21,659253
2011-03-31,19.17,19.48,19.17,19.4,60876
2011-04-01,19.51,19.69,19.36,19.57,83280
2011-04-04,19.97,20.35,19.97,20.27,468759
2011-04-05,20.17,20.65,20.17,20.63,166244
2011-04-06,20.82,20.98,20.71,20.74,487773
2011-04-07,20.66,20.89,20.43,20.63,297424
2011-04-08,20.92,20.96,20.6601,20.71,114115
2011-04-11,20.75,20.7824,20.3301,20.44,134247
2011-04-12,19.99,20.0899,19.6,19.79,212096
2011-04-13,19.95,20.11,19.53,19.57,136451
2011-04-14,19.44,19.59,19.36,19.52,137567
2011-04-15,19.49,19.5,19.271,19.38,75729
2011-04-18,19.23,19.23,18.55,18.77,140040
2011-04-19,18.92,19.17,18.89,19.17,64297
2011-04-20,19.9,19.9,19.66,19.75,196384
2011-04-21,19.98,20.15,19.971,20.07,116546
2011-04-25,20.2,20.37,20.01,20.26,114028
2011-04-26,20.15,20.27,20.03,20.14,65147
2011-04-27,20.2,20.2,19.78,20.14,113841
2011-04-28,20.18,20.2,20.041,20.14,61804
2011-04-29,20.1,20.44,20.1,20.3528,71336
2011-05-02,20.33,20.44,20.1109,20.22,81464
2011-05-03,20,20.0699,19.48,19.67,162812
2011-05-04,19.62,19.62,19.1,19.28,192050
2011-05-05,19.02,19.062,18.58,18.67,147709
2011-05-06,18.88,19.21,18.73,18.84,120807
2011-05-09,19.04,19.27,18.87,19.26,71518
2011-05-10,19.41,19.41,19.166,19.24,56126
2011-05-11,19.07,19.1444,18.46,18.5,214405
2011-05-12,18.32,18.53,18.1,18.44,153293
2011-05-13,18.55,18.69,18.21,18.335,96685
2011-05-16,18.18,18.5891,18.18,18.33,41254
2011-05-17,18.3,18.49,18.1,18.43,41928
2011-05-18,18.45,19.06,18.45,19,322709
2011-05-19,19.02,19.02,18.78,18.88,24799
2011-05-20,18.93,18.95,18.51,18.88,56519
2011-05-23,18.34,18.5,18.26,18.43,159636
2011-05-24,18.6501,18.748,18.45,18.53,111223
2011-05-25,18.6,18.9116,18.6,18.85,40591
2011-05-26,18.8,18.86,18.6,18.84,106629
2011-05-27,19,19.29,19,19.06,75167
2011-05-31,19.49,19.56,19.22,19.34,65961
2011-06-01,19.18,19.33,18.77,18.8,60886
2011-06-02,18.77,18.956,18.62,18.8301,85157
2011-06-03,18.33,18.83,18.32,18.68,113311
2011-06-06,18.58,18.6,18.15,18.15,86797
2011-06-07,18.43,18.59,18.26,18.33,59480
2011-06-08,18.16,18.16,17.8,17.92,87731
2011-06-09,18.1,18.31,17.9,18.3,36645
2011-06-10,18.06,18.1,17.7,17.75,65095
2011-06-13,17.76,17.92,17.51,17.74,59601
2011-06-14,18.05,18.28,17.95,18.1716,46423
2011-06-15,18.05,18.05,17.37,17.48,236534
2011-06-16,17.3,17.35,16.9,17.09,198325
2011-06-17,17.57,17.57,17.2209,17.31,68720
2011-06-20,17.12,17.32,17.11,17.3,111471
2011-06-21,17.64,17.92,17.61,17.8801,46762
2011-06-22,17.77,18.002,17.75,17.75,19032
2011-06-23,17.36,17.5928,17.1,17.58,74180
2011-06-24,17.79,17.79,17.39,17.42,46596
2011-06-27,17.32,17.5001,17.22,17.47,35035
2011-06-28,17.54,17.9905,17.54,17.97,33823
2011-06-29,18.25,18.69,18.15,18.66,86456
2011-06-30,18.89,19.122,18.8,19.1,56508
2011-07-01,19.05,19.25,18.97,19.22,36030
2011-07-05,19.4,19.5,19.35,19.38,60663
2011-07-06,19.25,19.3,19.02,19.23,38423
2011-07-07,19.61,19.72,19.53,19.6436,296322
2011-07-08,19.33,19.55,19.24,19.55,76741
2011-07-11,19.1,19.13,18.73,18.78,74400
2011-07-12,18.64,19.02,18.56,18.78,78245
2011-07-13,19.09,19.6,19.07,19.43,98590
2011-07-14,19.67,19.68,19.11,19.1669,326248
2011-07-15,19.36,19.43,19.17,19.42,36087
2011-07-18,19.3,19.3,18.97,19.13,100167
2011-07-19,19.66,19.6664,19.54,19.62,106772
