"Index","Open","High","Low","Adjusted","Volume"
2009-03-04,104.87,104.87,104.87,104.87,1
2009-03-05,100.08,100.08,100.08,100.08,1
2009-03-06,98.73,98.73,98.73,98.73,1
2009-03-09,96.79,96.79,96.79,96.79,1
2009-03-10,101.91,101.91,101.91,101.91,1
2009-03-11,102.86,102.86,102.86,102.86,1
2009-03-12,104.85,104.85,104.85,104.85,1
2009-03-13,106.38,106.38,106.38,106.38,1
2009-03-16,109.64,109.64,109.64,109.64,1
2009-03-17,109.75,109.75,109.75,109.75,1
2009-03-18,0,0,0,0,0
2009-03-19,110.48,110.48,110.48,110.48,1
2009-03-20,110.44,110.44,110.44,110.44,1
2009-03-23,114.1,114.1,114.1,114.1,1
2009-03-24,114.73,114.73,114.73,114.73,1
2009-03-25,115.79,115.79,115.79,115.79,1
2009-03-26,115.82,115.82,115.82,115.82,1
2009-03-27,113.68,113.68,113.68,113.68,1
2009-03-30,108.83,108.83,108.83,108.83,1
2009-03-31,111.91,111.91,111.91,111.91,1
2009-04-01,0,0,0,0,0
2009-04-02,119.79,119.79,119.79,119.79,1
2009-04-03,119.5,119.5,119.5,119.5,1
2009-04-06,119.45,119.45,119.45,119.45,1
2009-04-07,119.75,119.75,119.75,119.75,1
2009-04-08,120.62,120.62,120.62,120.62,1
2009-04-09,125.42,125.42,125.42,125.42,1
2009-04-14,127.62,127.62,127.62,127.62,1
2009-04-15,125.9,125.9,125.9,125.9,1
2009-04-16,128.23,128.23,128.23,128.23,1
2009-04-17,130.62,130.62,130.62,130.62,1
2009-04-20,126.15,126.15,126.15,126.15,1
2009-04-21,124.33,124.33,124.33,124.33,1
2009-04-22,127.44,127.44,127.44,127.44,1
2009-04-23,126.41,126.41,126.41,126.41,1
2009-04-24,128.14,128.14,128.14,128.14,1
2009-04-27,126.57,126.57,126.57,126.57,1
2009-04-28,124.93,124.93,124.93,124.93,1
2009-04-29,128.36,128.36,128.36,128.36,1
2009-04-30,130.56,130.56,130.56,130.56,1
2009-05-04,131.63,131.63,131.63,131.63,1
2009-05-05,132.67,132.67,132.67,132.67,1
2009-05-06,133.96,133.96,133.96,133.96,1
2009-05-07,134.04,134.04,134.04,134.04,1
2009-05-08,136.7,136.7,136.7,136.7,1
2009-05-11,135.5,135.5,135.5,135.5,1
2009-05-12,135.58,135.58,135.58,135.58,1
2009-05-13,131.57,131.57,131.57,131.57,1
2009-05-14,131.27,131.27,131.27,131.27,1
2009-05-15,130.96,130.96,130.96,130.96,1
2009-05-18,133.75,133.75,133.75,133.75,1
2009-05-19,136.44,136.44,136.44,136.44,1
2009-05-20,136.97,136.97,136.97,136.97,1
2009-05-21,134.69,134.69,134.69,134.69,1
2009-05-22,136.02,136.02,136.02,136.02,1
2009-05-25,136.66,136.66,136.66,136.66,1
2009-05-26,137.51,137.51,137.51,137.51,1
2009-05-27,139.07,139.07,139.07,139.07,1
2009-05-28,138.02,138.02,138.02,138.02,1
2009-05-29,137.88,137.88,137.88,137.88,1
2009-06-01,140.77,140.77,140.77,140.77,1
2009-06-02,141.15,141.15,141.15,141.15,1
2009-06-03,138.23,139.99,138.23,138.23,29
2009-06-04,138.07,138.07,138.07,138.07,1
2009-06-05,139.08,139.08,139.08,139.08,1
2009-06-08,137.4,137.4,137.4,137.4,1
2009-06-09,138.99,138.99,138.99,138.99,1
2009-06-10,140.9,140.9,140.9,140.9,1
2009-06-11,141.95,141.95,141.95,141.95,1
2009-06-12,142.21,142.21,142.21,142.21,1
2009-06-15,139.46,141.52,139.46,139.46,1
2009-06-16,139.35,139.85,139.35,139.35,0
2009-06-17,136.59,138.21,136.59,136.59,0
2009-06-18,138.21,138.21,137.01,138.21,0
2009-06-19,138.09,141.39,138.09,141.39,2
2009-06-22,137.99,141.02,137.99,137.99,0
2009-06-23,138.12,138.12,137.63,138.12,0
2009-06-24,141.9,141.9,138.42,141.9,0
2009-06-25,142.67,142.67,141.51,142.67,0
2009-06-26,143.9,143.9,142.98,142.98,2
2009-06-29,145.49,145.49,142.58,145.49,0
2009-06-30,144.68,145.64,144.68,144.68,0
2009-07-01,146.8,146.8,145.74,146.8,0
2009-07-02,142.99,145.72,142.99,142.99,0
2009-07-03,143.67,144.09,143.67,144.09,2
2009-07-06,142.16,142.8,142.16,142.16,0
2009-07-07,141.62,142.61,141.62,141.62,0
2009-07-08,139.19,141.17,139.19,139.19,0
2009-07-09,140.63,140.63,139.83,140.63,0
2009-07-10,139.94,139.94,139.33,139.33,2
2009-07-13,142.54,142.54,138.16,142.54,0
2009-07-14,143.57,143.57,142.86,143.57,0
2009-07-15,147.78,147.78,144.38,147.78,1000
2009-07-16,149.19,149.19,147.16,149.19,0
2009-07-17,150.17,150.17,149.8,149.8,2
2009-07-20,151.04,151.39,151.04,151.39,2
2009-07-21,151.42,151.42,150.88,150.88,2
2009-07-22,150.79,151.44,150.79,151.44,2
2009-07-23,151.99,154.82,151.99,154.82,2
2009-07-24,154.55,155.91,154.55,155.91,2
2009-07-27,157.34,158.44,157.26,158.44,821
2009-07-28,159.32,160.6,159.32,160.25,7560
2009-07-29,159.86,160.65,159.86,160.05,12
2009-07-30,160.9,163.24,160.9,163.24,2
2009-07-31,163,163.31,163,163.27,624
2009-08-03,164.03,164.03,164.03,164.03,1
2009-08-04,163.68,163.68,163.55,163.55,2
2009-08-05,163.26,163.26,160.9,160.9,2
2009-08-06,162.53,162.53,162.06,162.06,5
2009-08-07,164.82,164.82,164.82,164.82,1
2009-08-10,164.13,164.33,164.13,164.33,2
2009-08-11,164.77,164.77,163.15,163.15,2
2009-08-12,163.09,164.6,163.09,164.6,10
2009-08-13,164.86,167.56,164.86,166.33,6365
2009-08-14,166.73,166.73,163.9,163.9,2
2009-08-17,162.29,162.29,159.23,159.23,2
2009-08-18,160.23,160.84,160.23,160.84,2
2009-08-19,159.5,160.68,159.5,160.68,2
2009-08-20,162.58,163.74,162.58,163.74,5940
2009-08-21,163.54,167.86,163.54,167.86,2
2009-08-24,168.56,170.07,168.56,170.07,25
2009-08-25,169.27,172.11,169.27,172.11,2
2009-08-26,171.56,171.56,171.49,171.49,2
2009-08-27,171.22,171.22,171.22,171.22,2
2009-08-28,172.17,172.9,172.17,172.4,20
2009-08-31,170.97,171.14,170.97,171.14,2
2009-09-01,172.03,172.03,168.3,168.3,2
2009-09-02,167.5,167.5,165.48,165.48,21
2009-09-03,166.07,166.07,165.83,165.83,2
2009-09-04,166.93,169.18,166.93,169.18,2
2009-09-07,170.77,171.71,170.77,171.6,90
2009-09-08,171.95,172.69,171.2,171.2,175
2009-09-09,170.84,172.5,170.84,172.5,2
2009-09-10,173.21,173.21,170.61,170.61,2
2009-09-11,171.69,172.83,171.69,172.36,3
2009-09-14,170.22,172.89,170.22,172.89,2
2009-09-15,173.13,174.39,173.13,174.39,2
2009-09-16,175.25,176.58,175.25,176.58,2
2009-09-17,177.42,177.42,176.89,176.89,2
2009-09-18,176.34,177.34,176.34,177.34,2
2009-09-21,176.33,176.33,176.33,176.33,2
2009-09-22,177.05,177.66,177.05,177.66,2
2009-09-23,177.59,177.96,177.59,177.96,2
2009-09-24,176.94,176.94,175.6,175.6,15
2009-09-25,175.96,175.96,174.61,175.26,5
2009-09-28,174.8,178.4,174.8,178.4,2
2009-09-29,179.06,179.06,177.99,177.99,2
2009-09-30,178.35,178.35,176.19,176.19,2
2009-10-01,176.68,177.5,173.1,173.1,5
2009-10-02,171.39,171.39,169.94,169.94,2
2009-10-05,169.81,173.55,169.81,173.55,9927
2009-10-06,175.27,177.84,175.27,177.84,2
2009-10-07,177.31,177.31,176.17,176.17,2
2009-10-08,178.72,178.72,177.6,177.6,2
2009-10-09,177.84,177.84,176.53,176.53,2
2009-10-12,177.18,177.18,176.89,176.89,2
2009-10-13,176.05,176.05,174.99,174.99,2
2009-10-14,176.9,178.58,176.9,178.58,2
2009-10-15,179.77,179.77,179.11,179.11,45
2009-10-16,176.63,176.63,176.63,176.63,1
2009-10-19,177.82,179.62,177.82,179.62,2
2009-10-20,180.56,180.56,178.01,178.01,2
2009-10-21,179.28,180.08,179.28,180.08,2
2009-10-22,177.35,179.45,177.35,179.45,55
2009-10-23,180.43,180.43,178.33,178.33,2
2009-10-26,179.09,179.09,176.43,176.43,2
2009-10-27,176.01,176.55,176.01,176.55,2
2009-10-28,175.66,175.66,173.33,173.33,15
2009-10-29,172.77,177.69,172.77,177.69,28
2009-10-30,177.25,177.25,173.21,173.52,28
2009-11-02,173.24,174.04,173.24,174.04,2
2009-11-03,172.43,172.43,170.3,170.3,2424
2009-11-04,171.86,172.75,171.86,172.48,28
2009-11-05,171.59,175.17,171.59,175.17,2
2009-11-06,174.94,175.67,174.94,175.67,44
2009-11-09,177.8,178.94,177.8,178.94,20
2009-11-10,179.33,179.67,179.33,179.67,2
2009-11-11,180.47,180.58,180.45,180.45,5
2009-11-12,179.81,180.76,179.81,180.76,2
2009-11-13,180.61,181.44,180.61,181.44,2
2009-11-16,183.07,183.07,183.07,183.07,1
2009-11-17,182.96,183.25,182.74,182.74,35
2009-11-18,183.78,184.37,183.78,184.37,2
2009-11-19,183.7,183.7,181.44,181.44,2
2009-11-20,181.81,181.81,179.08,179.08,2
2009-11-23,180.82,182.3,180.82,182.3,2
2009-11-24,180.84,182.13,180.84,182.13,2
2009-11-25,183.7,183.7,183.29,183.29,2
2009-11-26,181.65,181.65,178.86,178.86,2
2009-11-27,178.27,179.93,178.27,179.93,2
2009-11-30,181.3,181.3,177.5,178.89,12
2009-12-01,179.96,181.63,179.96,181.63,2
2009-12-02,181.4,181.62,181.4,181.62,2
2009-12-03,183.03,183.03,181.71,181.71,2
2009-12-04,181.34,184.01,181.34,184.01,1001
2009-12-07,183.09,183.97,183.09,183.97,2
2009-12-08,182.49,183.57,180.52,180.52,38
2009-12-09,180.73,180.73,175.6,175.6,24
2009-12-10,176.12,176.83,176.12,176.83,2
2009-12-11,177.7,177.7,177.1,177.1,2
2009-12-14,178.79,178.79,178.63,178.63,2
2009-12-15,178.64,178.77,178.64,178.77,2
2009-12-16,179.02,180.45,177.55,180.45,10426
2009-12-17,179.13,179.13,178.23,178.23,2
2009-12-18,178.3,178.82,177.08,177.08,130
2009-12-21,177.93,180.14,177.93,180.14,75
2009-12-22,180.66,181.38,180.66,181.38,2
2009-12-23,182.17,182.35,182.17,182.35,2
2009-12-24,0,0,0,0,0
2009-12-28,183.58,183.58,183.52,183.52,2
2009-12-29,183.7,183.7,183.19,183.19,2
2009-12-30,183.33,183.33,182.25,182.25,2
2009-12-31,0,0,0,0,0
2010-01-04,183.29,184.98,183.29,184.98,2
2010-01-05,185.4,186.32,185.4,186.32,2
2010-01-06,186.6,186.73,186.6,186.73,2
2010-01-07,185.63,185.63,185.44,185.44,2
2010-01-08,185.57,186.49,185.57,185.57,1
2010-01-11,183.99,185.62,183.99,183.99,1
2010-01-12,182.39,185.01,182.39,182.39,1
2010-01-13,182.34,182.34,182.2,182.34,1
2010-01-14,182.65,183.46,182.65,182.65,1
2010-01-15,180.24,183.06,180.24,180.24,1
2010-01-18,180.55,181.06,180.55,180.55,1
2010-01-19,183.13,183.13,180.12,183.13,1
2010-01-20,182.3,182.3,178.23,178.23,3481
2010-01-21,173.51,178.77,173.51,173.51,1
2010-01-22,171.97,172.72,171.97,172.72,28
2010-01-25,171.7,171.7,170.25,170.25,50
2010-01-26,169.43,172.76,169.43,172.76,3000
2010-01-27,169.92,169.92,167.81,167.81,2
2010-01-28,169.5,169.5,164.27,164.27,2
2010-01-29,165.57,166.38,165.48,166.38,40
2010-02-01,165.03,167.22,165.03,167.22,2
2010-02-02,167.05,169.49,166.52,169.49,600
2010-02-03,170.16,170.16,164.61,164.61,2
2010-02-04,165.18,165.18,154.24,154.24,672
2010-02-05,153.36,154.71,150.9,152.97,307
2010-02-08,154.25,154.41,154.25,154.41,2
2010-02-09,153.39,156.69,153.39,156.69,300
2010-02-10,158.32,159.03,158.32,159.03,2
2010-02-11,160.31,160.31,156.57,156.57,2
2010-02-12,157.86,157.86,155.46,155.46,2
2010-02-15,156.39,156.39,156.39,156.39,2
2010-02-16,158.36,158.36,157.98,157.98,2
2010-02-17,159.45,159.58,159.45,159.58,2
2010-02-18,158.83,160.52,158.83,160.52,220
2010-02-19,158.98,161.84,158.98,161.84,2
2010-02-22,162.54,162.54,160.13,160.13,2
2010-02-23,160.85,160.85,156.24,156.24,2
2010-02-24,155.81,155.81,154.95,154.95,2
2010-02-25,153.72,153.72,152.96,152.96,25
2010-02-26,154.9,156.93,154.9,156.93,20
2010-03-01,158.91,158.91,158.27,158.31,40
2010-03-02,158.23,159.63,158.23,159.63,40
2010-03-03,158.7,161.88,158.7,161.88,114
2010-03-04,160.44,162.79,160.44,162.79,2
2010-03-05,163.46,167.23,163.46,167.23,750
2010-03-08,168.32,168.51,168.32,168.34,177
2010-03-09,168.25,168.25,165.77,166.63,450
2010-03-10,166.89,168.63,166.89,168.63,2
2010-03-11,167.77,167.77,166.98,166.98,20
2010-03-12,167.97,167.97,167.71,167.71,2
2010-03-15,167.49,167.49,165.82,165.82,2
2010-03-16,166.96,167.05,165.45,167.05,20
2010-03-17,168.29,169.02,168.01,169.02,29
2010-03-18,168.05,168.05,166.7,167.3,32
2010-03-19,168.04,168.05,166.04,166.04,1200
2010-03-22,165.03,165.03,163.9,163.9,2
2010-03-23,163.95,165.75,163.95,165.75,2
2010-03-24,166.02,166.02,162.5,163.25,60
2010-03-25,163.78,166.82,163.78,166.82,2
2010-03-26,166.91,166.91,166.79,166.79,2
2010-03-29,167.53,167.53,167.01,167.01,2
2010-03-30,167.6,167.6,164.99,164.99,2
2010-03-31,164.61,164.61,163.27,163.27,2
2010-04-01,164.42,166.56,164.42,166.56,2
2010-04-06,167.56,167.56,167.56,167.56,1
2010-04-07,167.63,168.8,167.63,168.03,600
2010-04-08,167.03,167.03,166.89,166.89,2
2010-04-09,167.89,171.83,167.89,171.83,610
2010-04-12,173.61,173.61,173.32,173.32,2
2010-04-13,172.67,173.67,172.67,172.94,10
2010-04-14,174.19,174.19,173.56,173.56,2
2010-04-15,173.81,174.09,173.81,174.09,29
2010-04-16,172.85,172.85,170.56,170.56,2
2010-04-19,168.22,169.05,168.22,169.05,118
2010-04-20,169.99,170.27,169.99,170.27,2
2010-04-21,170.96,170.96,166.74,166.74,2
2010-04-22,166.64,167.23,163.24,163.24,709
2010-04-23,163.71,164.86,163.71,164.86,2
2010-04-26,166.97,166.97,164.73,165.25,705
2010-04-27,164.09,164.09,157.05,157.05,704
2010-04-28,155.77,155.77,152.86,153.47,3642
2010-04-29,153.31,157.27,153.31,157.18,3012
2010-04-30,157.47,158.58,157.31,158.58,2820
2010-05-03,157.53,157.81,157.53,157.81,201
2010-05-04,157.6,157.6,148.92,148.92,3701
2010-05-05,149.56,149.56,145.12,145.56,1944
2010-05-06,143.75,148.03,140.15,141.92,555
2010-05-07,138.56,143.2,136.85,141.92,4031
2010-05-10,137.11,157.97,137.11,157.97,2300
2010-05-11,154.2,154.31,152.49,153.25,74
2010-05-12,150.44,154.92,150.44,154.39,3139
2010-05-13,154.9,155.49,151.46,152.11,158
2010-05-14,150.97,150.97,141.78,141.78,112
2010-05-17,140.75,144.39,140.75,142.35,1110
2010-05-18,144.66,147.38,144.66,147.38,2820
2010-05-19,143.61,145.45,142.41,143.77,3626
2010-05-20,145.27,146.26,140.3,142.82,160
2010-05-21,142.53,145.37,140.85,145.37,11097
2010-05-24,146.7,146.7,143,143.25,720
2010-05-25,138.26,138.26,136.17,137.63,1600
2010-05-26,140.8,141.25,138.65,138.65,225
2010-05-27,139.64,142.6,139.64,142.6,1
2010-05-28,144.7,144.7,144.11,144.17,73
2010-05-31,143.04,143.04,142.93,142.93,40
2010-06-01,141.44,142.85,139,142.3,138
2010-06-02,140.78,141.79,140.09,141.79,1400
2010-06-03,144.93,144.93,141.88,141.88,2246
2010-06-04,138.49,138.49,136.29,136.45,2100
2010-06-07,133.89,136.32,133.85,134.56,900
2010-06-08,134.85,134.85,132.16,132.35,800
2010-06-09,133.28,134.82,133.28,134.82,20
2010-06-10,133.95,140.72,133.95,140.72,1735
2010-06-11,142.54,145.92,142.54,145.87,796
2010-06-14,148.82,148.82,147.06,147.06,20
2010-06-15,146.02,149.8,146.02,149.8,780
2010-06-16,151.05,151.05,147.6,148.8,76
2010-06-17,149.57,151.3,149.45,150.66,23
2010-06-18,151.48,155,151.48,154.4,1320
2010-06-21,156.6,157.35,155.37,155.37,1225
2010-06-22,153.86,154.69,153.86,154.69,1
2010-06-23,152.6,152.6,152.46,152.46,1
2010-06-24,153.33,153.33,147.62,147.62,30
2010-06-25,148.46,148.46,146.91,147.05,40
2010-06-28,148.92,149.19,147.83,149.19,919
2010-06-29,146.68,146.68,141.18,141.18,8
2010-06-30,141.24,144.7,141.24,143.18,1870
2010-07-01,140.37,142.3,140.36,142.3,30
2010-07-02,143.02,145.1,143.02,143.31,30
2010-07-05,143.89,144.03,143.7,143.7,25
2010-07-06,144.55,149.78,144.55,148.74,134
2010-07-07,147.14,155.56,147.14,155.56,1828
2010-07-08,156.89,157.04,156.23,157.04,1500
2010-07-09,158.41,158.41,157.72,157.72,25
2010-07-12,157.42,157.42,155.85,156.85,13
2010-07-13,157.27,159.92,157.06,159.92,1820
2010-07-14,160.84,160.84,159.23,160.21,7285
2010-07-15,159.74,159.74,157.79,158.43,900
2010-07-16,158.99,158.99,154.69,155.48,2700
2010-07-19,154.93,157.83,154.61,154.61,5400
2010-07-20,156.19,156.89,155.56,156.89,3310
2010-07-21,157.85,157.85,156.01,156.01,1
2010-07-22,155.56,160.33,155.56,160.33,900
2010-07-23,159.29,161.81,159.29,161.81,1
2010-07-26,162.76,163.67,162.76,163.67,9
2010-07-27,164.75,166.21,164.75,166.21,50
2010-07-28,167.21,167.21,166.49,166.49,900
2010-07-29,166.85,166.92,166.85,166.92,1
2010-07-30,166.04,166.04,164.22,164.22,1
2010-08-02,165.26,170.12,165.26,169.78,1875
2010-08-03,169.16,170.27,169.16,170.27,1
2010-08-04,169.68,169.86,169.68,169.86,1
2010-08-05,170.4,171.42,169.65,169.65,915
2010-08-06,170.49,170.49,166.59,166.59,1100
2010-08-09,168.83,169.39,168.83,169.39,15
2010-08-10,168.38,168.38,168.03,168.03,920
2010-08-11,166.63,166.63,162.37,162.37,220
2010-08-12,162.12,162.21,162.12,162.21,1
2010-08-13,163.46,163.46,160.74,160.74,63
2010-08-16,160.88,160.88,159.9,160.29,250
2010-08-17,160.69,162.15,160.69,162.15,1
2010-08-18,161.13,162.34,161.13,162.34,1
2010-08-19,162.91,162.91,159.74,159.74,1
2010-08-20,160.79,160.79,157.58,157.58,1
2010-08-23,157.73,159.59,157.73,159.59,1
2010-08-24,158.19,158.19,156.89,157.2,70
2010-08-25,156.44,156.44,154.56,154.56,1
2010-08-26,156.26,156.26,156.2,156.2,1
2010-08-27,155.32,158.42,155.32,158.42,905
2010-08-30,159.23,159.23,158.25,158.25,1
2010-08-31,155.77,159.07,155.77,159.07,10
2010-09-01,159.73,164.59,159.73,164.59,1
2010-09-02,163.66,165,163.66,164.5,926
2010-09-03,164.85,165.72,164.85,165.72,1
2010-09-06,166.47,166.47,165.76,165.76,15
2010-09-07,164.88,164.88,163.6,163.6,1
2010-09-08,162.89,165.19,162.89,165.19,1
2010-09-09,164.3,167.1,164.3,167.1,16
2010-09-10,165.78,166.91,165.78,166.91,1
2010-09-13,168.38,168.92,167.95,167.99,1285
2010-09-14,167.89,168.82,167.89,168.82,1
2010-09-15,169.2,169.2,167.3,167.82,600
2010-09-16,167.38,167.87,167.37,167.42,1140
2010-09-17,168.58,168.58,165.32,165.32,5
2010-09-20,165.69,167.44,165.6,167.44,3050
2010-09-21,167.34,169.78,167.34,167.68,8395
2010-09-22,167.32,167.32,164.25,164.25,1
2010-09-23,165.71,165.71,163.03,163.56,15
2010-09-24,162.33,167.09,162.33,167.09,900
2010-09-27,166.93,166.93,165.24,165.24,1
2010-09-28,163.41,165.15,163.41,164.8,1830
2010-09-29,164.96,165,163.07,163.07,5
2010-09-30,161.86,163.5,161.86,163.5,1161
2010-10-01,163.22,163.22,162.39,162.39,1
2010-10-04,161.77,161.77,161.42,161.42,1
2010-10-05,161.5,165.59,161.5,165.59,10
2010-10-06,166.97,167.86,166.42,166.42,8106
2010-10-07,165.83,167.87,165.83,167.03,7428
2010-10-08,166.54,166.54,166.53,166.53,1
2010-10-11,166.87,166.87,166.25,166.25,1
