"Index","Open","High","Low","Adjusted","Volume"
2014-10-28,98.34,98.41,98.27,98.41,20
2014-10-29,100.59,100.59,100.44,100.59,1
2014-10-30,100.91,101.71,100.91,100.91,1
2014-10-31,101.27,101.27,100.79,100.79,5128
2014-11-03,99.88,100.55,99.88,99.88,1
2014-11-04,98.08,98.8,98.08,98.08,1
2014-11-05,97.24,97.54,97.24,97.24,1
2014-11-06,98.25,99.15,98.23,99.15,40
2014-11-07,98.94,98.94,98.69,98.94,1
2014-11-10,100.03,100.06,99.9,100.06,650
2014-11-11,98.89,99.43,98.89,98.89,1
2014-11-12,99.25,99.36,99.09,99.36,20
2014-11-13,0,0,0,0,0
2014-11-14,97.28,97.65,97.08,97.08,20
2014-11-17,98.15,98.15,97.54,98.15,1
2014-11-18,0,0,0,0,0
2014-11-19,0,0,0,0,0
2014-11-20,96.32,96.54,96.15,96.54,70
2014-11-21,98.47,98.47,96.55,98.47,1
2014-11-24,98.37,98.91,98.37,98.37,1
2014-11-25,98.31,98.52,98.31,98.31,1
2014-11-26,99.05,99.05,98.32,99.05,1
2014-11-27,99.66,99.78,99.66,99.66,1
2014-11-28,98.7,99.36,98.7,98.7,1
2014-12-01,97.76,97.77,97.41,97.41,40
2014-12-02,98.08,98.08,97.81,98.08,1
2014-12-03,98.85,98.85,98.37,98.85,1
2014-12-04,98.81,99.63,98.81,98.81,1
2014-12-05,99.43,99.43,99.2,99.43,1
2014-12-08,99.58,99.59,99.27,99.49,3770
2014-12-09,98.98,99.26,98.98,98.98,1
2014-12-10,96.98,97.68,96.98,96.98,1
2014-12-11,97.03,97.03,96.46,97.03,1
2014-12-12,96.02,96.54,95.27,95.27,3482
2014-12-15,95.99,96.68,95.99,95.99,1
2014-12-16,97.62,97.62,97.09,97.62,1
2014-12-17,0,0,0,0,0
2014-12-18,97.02,97.39,96.84,97.39,80
2014-12-19,98.89,98.89,98.59,98.89,1
2014-12-22,99.66,100.1,99.66,99.66,1
2014-12-23,99.25,99.25,99.13,99.25,1
2014-12-24,99.85,99.97,99.85,99.85,1
2014-12-29,99.55,99.67,99.11,99.67,20
2014-12-30,99.07,99.07,98.63,98.7,50
2014-12-31,0,0,0,0,0
2015-01-02,99.32,99.83,99.32,99.32,1
2015-01-05,99.03,99.03,98.95,99.03,1
2015-01-06,98.38,98.62,98.38,98.38,1
2015-01-07,100.18,100.18,99.51,100.18,1
2015-01-08,102.4,102.7,101.71,102.7,65
2015-01-09,103.45,103.52,103.45,103.45,1
2015-01-12,104.27,104.27,103.71,103.71,20
