"Index","Open","High","Low","Adjusted","Volume"
2013-06-26,17,17.4,14.45,14.5,3083900
2013-06-27,14.49,14.72,13.73,14,527900
2013-06-28,13.76,14.3,13.65,14.1,158200
2013-07-01,14.21,14.25,13.55,14.01,127200
2013-07-02,14.2,14.6,14.06,14.57,123000
2013-07-03,14.75,14.75,14.61,14.61,70700
2013-07-05,14.75,14.79,14.52,14.58,47600
2013-07-08,14.88,14.99,14.5701,14.94,73900
2013-07-09,14.93,15.74,14.9201,15.7,70700
2013-07-10,15.52,16.24,15.52,16.05,57200
2013-07-11,16.64,16.73,16.0101,16.73,60200
2013-07-12,16.9,17.1,16.5,17.05,41900
2013-07-15,17.18,17.48,16.37,17.21,71700
2013-07-16,17.57,18.95,16.85,17.31,55500
2013-07-17,17.9,17.93,16.51,17.15,52200
2013-07-18,17.45,17.45,16.77,17.28,85000
2013-07-19,16.97,17.34,16.82,16.9,114200
2013-07-22,17.74,17.8868,16.87,17.05,350200
2013-07-23,17.4,18,17.01,17.11,129000
2013-07-24,17.25,17.5,16.92,16.96,50500
2013-07-25,17,17.22,16.62,16.78,93700
2013-07-26,16.78,17.11,16.64,17.07,58100
2013-07-29,17.15,17.5,17.1,17.41,55600
2013-07-30,17.5,17.7,17.16,17.65,57900
2013-07-31,18,18,17.46,17.84,78000
2013-08-01,18,18.88,17.621,17.79,80000
2013-08-02,17.9,18.49,17.9,18.25,33600
2013-08-05,18.12,18.86,18.12,18.44,20600
2013-08-06,18.27,18.5,18.02,18.15,48500
2013-08-07,18,18.749,17.61,17.73,38700
2013-08-08,17.82,18.02,16.6408,17.23,43200
2013-08-09,17.03,17.49,16.191,16.69,65000
2013-08-12,16.64,17.5,16.64,17.23,19400
2013-08-13,20.1,20.1,17.14,17.44,89600
2013-08-14,17.47,17.73,17.04,17.48,18300
2013-08-15,17.22,17.349,17.05,17.06,17500
2013-08-16,17.35,17.53,16.95,17.24,12100
2013-08-19,17.4,17.54,16.9,16.93,7800
2013-08-20,17.2,17.3,16.61,16.9,68700
2013-08-21,17.07,17.07,16,16.64,54000
2013-08-22,17.28,17.3,16.51,16.95,36000
2013-08-23,17.01,17.16,16.35,16.8,47300
2013-08-26,17.18,17.18,16.85,17,13900
2013-08-27,17.18,17.1875,16.76,16.76,35000
2013-08-28,16.94,17,16.7601,16.81,26300
2013-08-29,16.77,17.18,16.77,16.87,67500
2013-08-30,17.04,17.04,16,16.12,40300
