"Index","Open","High","Low","Adjusted","Volume"
2010-06-28,30.12,30.12,29.87,30.1,113000
2010-06-29,29.58,29.58,28.82,28.82,1
2010-06-30,0,0,0,0,0
2010-07-01,0,0,0,0,0
2010-07-02,0,0,0,0,0
2010-07-05,0,0,0,0,0
2010-07-06,0,0,0,0,0
2010-07-07,28.55,29.89,28.55,29.89,1
2010-07-08,30.07,30.3,30.07,30.3,1
2010-07-09,0,0,0,0,0
2010-07-12,0,0,0,0,0
2010-07-13,0,0,0,0,0
2010-07-14,0,0,0,0,0
2010-07-15,0,0,0,0,0
2010-07-16,0,0,0,0,0
2010-07-19,0,0,0,0,0
2010-07-20,0,0,0,0,0
2010-07-21,30.22,30.22,30.04,30.04,1
2010-07-22,29.93,30.92,29.93,30.85,2700
2010-07-23,0,0,0,0,0
2010-07-26,0,0,0,0,0
2010-07-27,0,0,0,0,0
2010-07-28,31.77,31.77,31.51,31.53,13500
2010-07-29,0,0,0,0,0
2010-07-30,0,0,0,0,0
2010-08-02,0,0,0,0,0
2010-08-03,0,0,0,0,0
2010-08-04,32.03,32.03,32.02,32.02,1
2010-08-05,0,0,0,0,0
2010-08-06,32.03,32.03,31.51,31.51,1
2010-08-09,0,0,0,0,0
2010-08-10,0,0,0,0,0
2010-08-11,0,0,0,0,0
2010-08-12,0,0,0,0,0
2010-08-13,0,0,0,0,0
2010-08-16,30.635,30.635,30.49,30.49,1
2010-08-17,30.645,30.875,30.645,30.875,13421
2010-08-18,0,0,0,0,0
2010-08-19,0,0,0,0,0
2010-08-20,0,0,0,0,0
2010-08-23,0,0,0,0,0
2010-08-24,29.655,29.655,29.435,29.435,1
2010-08-25,0,0,0,0,0
2010-08-26,0,0,0,0,0
2010-08-27,0,0,0,0,0
2010-08-30,0,0,0,0,0
2010-08-31,0,0,0,0,0
2010-09-01,29.53,30.42,29.53,30.42,1
2010-09-02,0,0,0,0,0
2010-09-03,0,0,0,0,0
2010-09-06,0,0,0,0,0
2010-09-07,0,0,0,0,0
2010-09-08,0,0,0,0,0
2010-09-09,0,0,0,0,0
2010-09-10,30.98,31.095,30.98,31.095,1
2010-09-13,0,0,0,0,0
2010-09-14,31.38,31.38,31.37,31.37,1
2010-09-15,31.465,31.465,31.175,31.175,1
2010-09-16,31.13,31.13,30.86,30.86,1
2010-09-17,0,0,0,0,0
2010-09-20,30.77,31.19,30.77,31.19,1
2010-09-21,0,0,0,0,0
2010-09-22,0,0,0,0,0
2010-09-23,0,0,0,0,0
2010-09-24,30.26,30.935,30.26,30.935,1
2010-09-27,0,0,0,0,0
2010-09-28,0,0,0,0,0
2010-09-29,30.955,30.955,30.555,30.555,1
2010-09-30,30.37,30.7,30.37,30.7,1
2010-10-01,0,0,0,0,0
2010-10-04,0,0,0,0,0
2010-10-05,0,0,0,0,0
2010-10-06,0,0,0,0,0
2010-10-07,30.855,31.095,30.855,31.095,1
2010-10-08,0,0,0,0,0
2010-10-11,31.225,31.275,31.225,31.275,1
2010-10-12,31.035,31.165,31.035,31.165,1
2010-10-13,0,0,0,0,0
2010-10-14,0,0,0,0,0
2010-10-15,0,0,0,0,0
2010-10-18,0,0,0,0,0
2010-10-19,0,0,0,0,0
2010-10-20,0,0,0,0,0
2010-10-21,0,0,0,0,0
2010-10-22,0,0,0,0,0
2010-10-25,32.46,32.46,32.175,32.175,1
2010-10-26,32.13,32.13,32.03,32.03,1
2010-10-27,0,0,0,0,0
2010-10-28,32.09,32.22,32.09,32.22,1
2010-10-29,0,0,0,0,0
2010-11-01,0,0,0,0,0
2010-11-02,31.765,32.155,31.765,32.14,12348
2010-11-03,0,0,0,0,0
2010-11-04,0,0,0,0,0
2010-11-05,32.315,32.315,31.82,31.82,1
2010-11-08,0,0,0,0,0
2010-11-09,0,0,0,0,0
2010-11-10,0,0,0,0,0
2010-11-11,0,0,0,0,0
2010-11-12,0,0,0,0,0
2010-11-15,0,0,0,0,0
2010-11-16,0,0,0,0,0
2010-11-17,0,0,0,0,0
2010-11-18,0,0,0,0,0
2010-11-19,0,0,0,0,0
2010-11-22,0,0,0,0,0
2010-11-23,0,0,0,0,0
2010-11-24,30.135,30.135,30.005,30.005,1
2010-11-25,0,0,0,0,0
2010-11-26,29.77,29.86,29.77,29.86,1
2010-11-29,29.96,30.24,29.105,29.105,1700
2010-11-30,29.18,29.18,28.74,28.74,1
2010-12-01,0,0,0,0,0
2010-12-02,0,0,0,0,0
2010-12-03,0,0,0,0,0
2010-12-06,0,0,0,0,0
2010-12-07,30.22,30.32,30.22,30.32,1
2010-12-08,0,0,0,0,0
2010-12-09,0,0,0,0,0
2010-12-10,0,0,0,0,0
2010-12-13,31.01,31.075,31.01,31.075,1
2010-12-14,0,0,0,0,0
2010-12-15,0,0,0,0,0
2010-12-16,30.7,30.73,30.7,30.73,1
2010-12-17,0,0,0,0,0
2010-12-20,30.2,30.68,30.2,30.68,1
2010-12-21,30.925,31.245,30.925,31.245,1
2010-12-22,31.26,31.26,31.215,31.215,1
2010-12-23,31.31,31.33,31.31,31.33,1
2010-12-27,0,0,0,0,0
2010-12-28,31.025,31.025,30.785,30.785,1
2010-12-29,0,0,0,0,0
2010-12-30,0,0,0,0,0
2011-01-03,0,0,0,0,0
2011-01-04,30.835,30.965,30.75,30.965,6742
2011-01-05,0,0,0,0,0
2011-01-06,0,0,0,0,0
2011-01-07,0,0,0,0,0
2011-01-10,0,0,0,0,0
2011-01-11,30.32,30.645,30.16,30.645,11271
2011-01-12,30.71,31.83,30.71,31.83,111
2011-01-13,0,0,0,0,0
2011-01-14,32.05,32.31,32.05,32.31,1
2011-01-17,0,0,0,0,0
2011-01-18,0,0,0,0,0
2011-01-19,32.63,32.77,32.56,32.72,10396
2011-01-20,0,0,0,0,0
2011-01-21,0,0,0,0,0
2011-01-24,33.385,33.385,33.125,33.38,2525
2011-01-25,0,0,0,0,0
2011-01-26,0,0,0,0,0
2011-01-27,0,0,0,0,0
2011-01-28,0,0,0,0,0
2011-01-31,32.985,33.36,32.985,33.175,980
2011-02-01,33.425,33.915,33.425,33.915,1426
2011-02-02,0,0,0,0,0
2011-02-03,0,0,0,0,0
2011-02-04,0,0,0,0,0
2011-02-07,0,0,0,0,0
2011-02-08,34.28,34.28,34.1,34.215,300
2011-02-09,0,0,0,0,0
2011-02-10,0,0,0,0,0
2011-02-11,0,0,0,0,0
2011-02-14,0,0,0,0,0
2011-02-15,34.115,34.385,34.115,34.385,1
2011-02-16,34.495,34.835,34.495,34.835,560
2011-02-17,0,0,0,0,0
2011-02-18,0,0,0,0,0
2011-02-21,0,0,0,0,0
2011-02-22,0,0,0,0,0
2011-02-23,0,0,0,0,0
2011-02-24,0,0,0,0,0
2011-02-25,33.105,33.635,33.105,33.635,1
2011-02-28,33.52,33.82,33.52,33.82,40
2011-03-01,34.135,34.135,33.49,33.49,698
2011-03-02,0,0,0,0,0
2011-03-03,0,0,0,0,0
2011-03-04,33.56,33.56,33.36,33.36,1
2011-03-07,0,0,0,0,0
2011-03-08,0,0,0,0,0
2011-03-09,0,0,0,0,0
2011-03-10,33.53,33.53,33.33,33.33,1
2011-03-11,0,0,0,0,0
2011-03-14,32.9,32.9,32.85,32.85,1
2011-03-15,0,0,0,0,0
2011-03-16,0,0,0,0,0
2011-03-17,0,0,0,0,0
2011-03-18,0,0,0,0,0
2011-03-21,32.225,32.42,32.2,32.42,2800
2011-03-22,0,0,0,0,0
2011-03-23,0,0,0,0,0
2011-03-24,0,0,0,0,0
2011-03-25,0,0,0,0,0
2011-03-28,0,0,0,0,0
2011-03-29,33.1,33.1,32.845,32.845,1
2011-03-30,0,0,0,0,0
2011-03-31,33.135,33.135,32.675,32.675,1
2011-04-01,0,0,0,0,0
2011-04-04,0,0,0,0,0
2011-04-05,33.055,33.2,33.055,33.2,1
2011-04-06,0,0,0,0,0
2011-04-07,0,0,0,0,0
2011-04-08,33.735,33.765,33.665,33.765,15
