"Index","Open","High","Low","Adjusted","Volume"
2000-01-03,28,28,27.63,27.94,128333
2000-01-04,27.38,27.38,26.5,26.81,168900
2000-01-05,26.75,27.13,26.38,27.13,134033
2000-01-06,26.88,28.19,26.88,27.94,227400
2000-01-07,28.13,28.63,28,28.56,840367
2000-01-10,28.38,28.63,28.38,28.56,450367
2000-01-11,28.44,28.69,28.44,28.56,267700
2000-01-12,28.69,28.69,28.38,28.5,237100
2000-01-13,28.5,28.56,28.38,28.5,311167
2000-01-14,28.44,28.63,28.44,28.63,456200
2000-01-18,28.56,29.31,28.5,28.94,718267
2000-01-19,28.94,29,28.5,28.88,198333
2000-01-20,28.94,29,28.75,28.81,66367
2000-01-21,28.69,28.81,28.63,28.75,58433
2000-01-24,28.81,28.94,28.63,28.63,150100
2000-01-25,28.75,29,28.5,28.69,198200
2000-01-26,28.81,29.13,28.81,29,287800
2000-01-27,29,29.06,28.5,28.5,309967
2000-01-28,28.56,29,28.56,28.88,47433
2000-01-31,28.88,28.94,28.5,28.5,259167
2000-02-01,28.56,28.69,28.31,28.5,575633
2000-02-02,28.44,28.69,28.44,28.63,352500
2000-02-03,28.63,29,28.19,28.56,852833
2000-02-04,28.69,28.87,28.69,28.75,79167
2000-02-07,28.75,28.81,28.63,28.75,175133
2000-02-08,28.75,29,28.75,28.94,486700
2000-02-09,29.19,29.19,29,29,284300
2000-02-10,28.94,29.06,28.81,28.94,456733
2000-02-11,28.94,29.06,28.88,28.88,145700
2000-02-14,28.88,29,28.75,28.88,154633
2000-02-15,28.75,29.69,28.75,29.5,1027100
2000-02-16,29.38,30,29.38,29.44,543233
2000-02-17,29.44,29.5,29.38,29.44,54700
2000-02-18,29.5,29.5,29.19,29.25,33167
2000-02-22,29.5,29.5,29.06,29.06,80500
2000-02-23,29.25,29.25,29,29.13,104967
2000-02-24,29.25,29.31,29.06,29.31,60400
2000-02-25,29.06,29.13,28.94,29.06,217933
2000-02-28,29.19,29.19,28.81,28.94,98633
2000-02-29,28.88,28.94,28.75,28.81,288067
2000-03-01,28.81,29.06,28.81,28.94,87467
2000-03-02,28.94,29.13,28.63,29.06,112400
2000-03-03,29.06,29.31,29.06,29.19,136633
2000-03-06,29.19,29.56,29,29.06,179133
2000-03-07,29.06,29.19,28.88,29.13,43800
2000-03-08,29.13,29.13,28.63,28.63,203800
2000-03-09,28.88,29.19,28.81,29.13,70733
2000-03-10,29.19,29.19,28.31,28.5,319433
