"Index","Open","High","Low","Adjusted","Volume"
2016-05-23,28.83,28.87,28.83,28.87,2
2016-05-24,28.89,29.25,28.89,29.25,2
2016-05-25,29.14,29.25,29.14,29.25,38
2016-05-26,29.11,29.14,28.99,29.14,2508
2016-05-27,29.11,29.19,29.11,29.19,2
2016-05-30,29.09,29.21,29.09,29.16,2330
2016-05-31,29.29,29.36,29.29,29.34,1750
2016-06-01,29.52,29.52,29.29,29.29,21591
2016-06-02,29.17,29.25,29.17,29.25,2
2016-06-03,0,0,0,0,0
2016-06-06,29.35,29.35,29.3,29.33,880
2016-06-07,29.38,29.6,29.38,29.6,100
2016-06-08,29.58,29.6,29.5,29.56,2790
2016-06-09,29.49,29.49,29.49,29.49,4
2016-06-10,29.41,29.41,29.2,29.2,21016
2016-06-13,29.13,29.13,28.8,28.8,2
2016-06-14,28.56,28.56,28.45,28.46,31506
2016-06-15,28.67,28.71,28.67,28.71,2
2016-06-16,28.23,28.53,28.23,28.51,400
2016-06-17,28.31,28.31,28.12,28.16,21006
2016-06-20,28.71,28.96,28.71,28.96,10597
2016-06-21,28.94,29.14,28.94,29.14,2
2016-06-22,28.86,28.86,28.79,28.79,2
2016-06-23,28.75,28.83,28.63,28.63,15002
2016-06-24,28.57,28.65,28.17,28.65,70
2016-06-27,29.05,29.05,28.9,28.9,2
2016-06-28,29.33,29.33,29.24,29.31,124
2016-06-29,29.5,29.6,29.43,29.43,1440
2016-06-30,29.22,29.33,29.22,29.33,269
2016-07-01,0,0,0,0,0
2016-07-04,29.74,29.74,29.56,29.61,2740
2016-07-05,29.62,29.64,29.62,29.64,2
2016-07-06,29.69,29.69,29.55,29.55,2
2016-07-07,29.66,29.72,29.66,29.72,2
2016-07-08,29.42,29.71,29.36,29.71,7502
2016-07-11,30.06,30.33,30.06,30.33,27
2016-07-12,30.16,30.33,30.16,30.33,2633
2016-07-13,29.94,30.02,29.93,29.93,1750
2016-07-14,29.66,29.81,29.66,29.81,2
2016-07-15,29.31,29.58,29.18,29.58,1211
2016-07-18,29.55,29.55,29.46,29.46,2
2016-07-19,29.59,29.64,29.59,29.64,2
2016-07-20,29.96,29.99,29.96,29.99,2
2016-07-21,29.66,29.73,29.66,29.73,2
2016-07-22,29.75,29.85,29.75,29.85,1500
2016-07-25,29.9,29.9,29.74,29.74,1498
2016-07-26,29.97,29.98,29.97,29.98,2
2016-07-27,30.1,30.1,29.98,29.98,2
2016-07-28,29.7,29.73,29.7,29.72,475
2016-07-29,30.36,30.36,30.17,30.17,2
2016-08-01,30.24,30.24,30.1,30.1,2
2016-08-02,29.99,29.99,29.71,29.71,2
2016-08-03,29.62,29.62,29.59,29.59,1450
2016-08-04,29.74,29.91,29.74,29.88,275
2016-08-05,29.66,30.05,29.66,29.91,5121
2016-08-08,29.72,29.86,29.72,29.75,902
2016-08-09,29.95,30.03,29.9,30.03,25022
2016-08-10,30.19,30.19,30.05,30.05,2
2016-08-11,30.17,30.22,30.17,30.22,2
2016-08-12,30.22,30.36,30.22,30.36,116
2016-08-15,30.27,30.34,30.27,30.34,2
2016-08-16,29.99,29.99,29.84,29.84,2
2016-08-17,29.66,29.66,29.62,29.62,2
2016-08-18,29.66,29.66,29.51,29.51,2
2016-08-19,29.39,29.39,29.26,29.37,397
2016-08-22,29.52,29.54,29.49,29.49,135
2016-08-23,29.59,29.64,29.59,29.64,2
2016-08-24,29.68,29.8,29.68,29.8,2
2016-08-25,29.73,29.73,29.67,29.67,2
2016-08-26,29.61,29.75,29.61,29.75,2
2016-08-29,29.51,29.63,29.51,29.63,47
2016-08-30,29.47,29.61,29.47,29.61,2
