"Index","Open","High","Low","Adjusted","Volume"
2013-08-01,26.13,26.28,26.12,26.28,600
2013-08-02,26.5,26.5,26.31,26.31,1200
2013-08-05,26.31,26.31,26.31,26.31,0
2013-08-06,36,36,26.37,26.37,600
2013-08-07,25.905,25.905,25.905,25.905,100
2013-08-08,25.96,25.96,25.96,25.96,100
2013-08-09,25.96,25.96,25.96,25.96,0
2013-08-12,26.4195,26.43,26.4195,26.43,528
2013-08-13,26.45,26.47,26.43,26.47,600
2013-08-14,26.72,26.72,26.6,26.6,200
2013-08-15,25.93,25.93,25.93,25.93,100
2013-08-16,25.85,26.02,25.85,26.02,325
2013-08-19,26.02,26.02,26.02,26.02,0
2013-08-20,26.3098,26.3098,26.3098,26.3098,100
2013-08-21,26.4799,26.4799,26.24,26.25,1800
2013-08-22,26.4,26.46,26.4,26.46,1600
2013-08-23,26.785,26.785,26.7654,26.7654,200
2013-08-26,26.94,27.05,26.94,26.94,1279
2013-08-27,26.94,26.94,26.94,26.94,0
2013-08-28,26.4,26.5,26.4,26.5,650
2013-08-29,26.8,26.8,26.71,26.71,200
2013-08-30,26.71,26.71,26.71,26.71,0
2013-09-03,26.71,26.71,26.71,26.71,0
2013-09-04,27.04,27.04,27.04,27.04,100
2013-09-05,27.55,27.55,27.55,27.55,100
2013-09-06,27.75,27.89,27.61,27.89,3350
2013-09-09,29.16,29.16,29.16,29.16,200
2013-09-10,28.85,28.85,28.82,28.82,600
2013-09-11,28.84,29.0999,28.84,28.96,500
2013-09-12,29.36,29.36,29.06,29.06,1450
2013-09-13,28.75,28.75,28.75,28.75,100
2013-09-16,29.28,29.28,29.1,29.1,10000
2013-09-17,29.1,29.1,29.1,29.1,0
2013-09-18,29.3,29.76,29.3,29.76,880
2013-09-19,30.57,30.57,30.12,30.12,650
2013-09-20,30.11,30.11,29.8499,29.85,983
2013-09-23,29.46,29.46,29.46,29.46,100
2013-09-24,29.6302,29.73,29.6302,29.71,1200
2013-09-25,30.01,30.0878,29.991,30.0878,2450
2013-09-26,30.2842,30.48,30.1,30.45,6090
2013-09-27,30.35,30.37,30.35,30.3689,400
2013-09-30,30.51,30.51,30.51,30.51,300
2013-10-01,30.55,30.87,29.92,30.87,8950
2013-10-02,31.3,31.36,31.3,31.36,2732
2013-10-03,32.43,32.43,30.9933,31.27,3871
2013-10-04,31.59,32.079,31.59,31.959,1400
2013-10-07,32.37,32.37,31.74,31.78,2480
2013-10-08,31.72,31.72,29.9643,29.9643,5126
2013-10-09,29.5,30.19,29.36,29.97,1797
2013-10-10,30.85,30.94,30.81,30.93,4793
2013-10-11,30.8,31.41,30.8,31.4,8867
2013-10-14,31.01,31.59,31.01,31.588,1600
2013-10-15,31.91,31.91,31.15,31.41,3140
2013-10-16,31.5901,31.76,31.5901,31.68,2729
2013-10-17,34.69,34.69,31.668,31.888,600
2013-10-18,33.07,33.368,32.77,33.268,9318
2013-10-21,33.55,33.59,33.45,33.45,5506
2013-10-22,33.6999,33.6999,32.87,33.258,22923
2013-10-23,33.1,33.1,31.55,31.587,7075
2013-10-24,32.141,32.62,31.841,32.02,9202
2013-10-25,31.532,31.532,31.17,31.17,13460
2013-10-28,30.3299,30.3299,29.75,29.76,8620
2013-10-29,29.54,30.31,29.5399,30.31,4752
2013-10-30,30.91,31.15,30.1,30.1,3395
2013-10-31,30.1,30.1,30.03,30.03,400
2013-11-01,30.2602,30.2602,30.2602,30.2602,170
2013-11-04,30.75,30.75,30.4,30.75,3160
2013-11-05,30.3,30.3,30.3,30.3,500
2013-11-06,30.3314,30.3314,29.7,29.7,2195
2013-11-07,29.21,29.21,28.75,28.75,11110
2013-11-08,28.91,29.18,28.9099,29.18,2150
2013-11-11,29.74,30.07,29.68,29.98,21827
2013-11-12,30.3,30.3199,29.83,30.178,8975
2013-11-13,30.35,30.84,30.35,30.8141,8487
2013-11-14,30.8,30.98,30.71,30.865,5025
2013-11-15,31.4269,31.64,31.4269,31.57,11321
2013-11-18,31.79,32.255,31.2,31.2,13431
2013-11-19,31.76,31.76,30.581,30.59,5685
2013-11-20,31.74,31.74,30.01,30.21,6396
2013-11-21,30.35,30.49,30.3499,30.44,725
