"Index","Open","High","Low","Adjusted","Volume"
2000-01-03,7.688,7.688,7.438,7.438,84000
2000-01-04,7.375,7.688,7.25,7.5,83000
2000-01-05,7.563,7.688,7.313,7.625,47000
2000-01-06,7.625,7.938,7.5,7.813,124000
2000-01-07,7.813,8.188,7.75,8,74000
2000-01-10,7.938,8.125,7.938,8.063,74000
2000-01-11,8,8.125,7.875,8.063,405000
2000-01-12,8.063,8.188,8,8.125,54000
2000-01-13,8.125,8.5,8.063,8.5,115000
2000-01-14,8.563,8.563,8.25,8.313,40000
2000-01-18,8.188,8.625,8.188,8.5,74000
2000-01-19,8.5,8.688,8.375,8.688,115000
2000-01-20,8.625,8.813,8.563,8.813,73000
2000-01-21,8.813,8.938,8.75,8.875,49000
2000-01-24,8.813,9.063,8.75,8.875,96000
2000-01-25,8.875,8.938,8.625,8.75,52000
2000-01-26,8.813,8.938,8.688,8.813,30000
2000-01-27,8.75,8.938,8.75,8.938,37000
2000-01-28,8.938,9.125,8.875,8.875,65000
2000-01-31,9,9,8.813,8.938,83000
2000-02-01,8.875,8.875,8.25,8.625,127000
2000-02-02,8.625,8.813,8.563,8.688,55000
2000-02-03,8.688,8.75,8.5,8.688,66000
2000-02-04,8.813,9.25,8.813,9.188,112000
2000-02-07,9.313,9.5,9.125,9.25,66000
2000-02-08,9.375,9.875,9.375,9.625,59000
2000-02-09,9.563,9.688,9.5,9.625,42000
2000-02-10,9.563,9.75,9.563,9.75,47000
2000-02-11,9.875,9.875,9.375,9.438,57000
2000-02-14,9.313,9.563,9.313,9.375,46000
2000-02-15,9.375,9.438,9.313,9.375,43000
2000-02-16,9.375,9.375,9.188,9.25,62000
2000-02-17,9.188,9.438,9,9.438,34000
2000-02-18,9.375,9.375,8.813,9.125,48000
2000-02-22,9,9.25,9,9.25,39000
2000-02-23,9.125,9.125,8.75,8.813,47000
2000-02-24,9,9.063,9,9,40000
2000-02-25,8.875,9.063,8.875,9,60000
2000-02-28,8.875,9.125,8.813,8.813,44000
2000-02-29,8.813,9.125,8.625,8.625,105000
2000-03-01,8.625,9.125,7.5,7.5,341000
2000-03-02,7.875,8.5,7.875,8.125,321000
2000-03-03,8.25,8.75,8.25,8.688,209000
2000-03-06,8.563,8.938,8.563,8.75,48000
2000-03-07,8.688,8.813,8.625,8.688,54000
2000-03-08,8.563,8.688,8.563,8.625,71000
2000-03-09,8.5,8.688,8.438,8.625,89000
2000-03-10,8.625,8.625,8.375,8.5,75000
2000-03-13,8.375,8.625,8.375,8.625,31000
2000-03-14,8.625,8.688,8.5,8.5,128000
2000-03-15,8.5,8.688,8.5,8.5,60000
2000-03-16,8.5,8.625,8.5,8.625,120000
2000-03-17,8.5,8.688,8.5,8.5,71000
2000-03-20,8.5,8.625,8.5,8.5,24000
2000-03-21,8.5,8.625,8.438,8.625,37000
2000-03-22,8.625,8.625,8.563,8.563,16000
2000-03-23,8.5,8.625,8.5,8.563,39000
2000-03-24,8.563,8.625,8.5,8.5,44000
2000-03-27,8.5,8.563,8.438,8.438,67000
2000-03-28,8.563,8.563,8.313,8.375,19000
2000-03-29,8.25,8.375,7.875,8.25,57000
2000-03-30,8.313,8.5,8.188,8.188,26000
2000-03-31,8.188,9.125,8.063,9,76000
2000-04-03,9,9.125,8.375,8.813,48000
2000-04-04,8.688,8.688,8,8.25,41000
2000-04-05,8.188,8.188,7.75,7.875,69000
2000-04-06,7.875,7.938,7.75,7.875,182000
2000-04-07,7.875,8,7.688,7.813,14000
2000-04-10,7.75,7.75,7.5,7.5,127000
2000-04-11,7.5,7.688,7.5,7.563,22000
