"Index","Open","High","Low","Adjusted","Volume"
2006-06-23,29.34,29.42,29.03,29.04,11437
2006-06-26,29.21,29.29,28.79,29.12,1139
2006-06-27,29.31,30.54,29.31,30.45,700
2006-06-28,30.62,31.26,29.93,31.26,944
2006-06-29,31,31.86,31,31.86,930
2006-06-30,32.77,33.02,32.3,32.59,8470
2006-07-03,33,33.17,32.65,33.02,4164
2006-07-04,32.87,33.5,32.85,32.9,16046
2006-07-05,33.11,33.14,32.25,32.3,12219
2006-07-06,32.51,33.31,32.49,33.3,19984
2006-07-07,33.29,33.58,33,33.15,2681
2006-07-10,33.19,33.86,33.19,33.85,1508
2006-07-11,33.68,33.84,33.21,33.21,6626
2006-07-12,33.94,34.27,33.62,33.97,10019
2006-07-13,33.74,33.74,31.99,32.04,13899
2006-07-14,31.56,32.36,31.33,32.11,13467
2006-07-17,32.08,32.08,31.6,31.6,854
2006-07-18,31.45,32.3,31.02,32.3,1256
2006-07-19,32.34,33.1,31.49,33.1,6406
2006-07-20,33.4,33.68,32.98,32.98,2675
2006-07-21,32.75,32.79,32.13,32.13,2731
2006-07-24,32.49,33.2,32.49,33.2,1936
2006-07-25,33.48,33.63,33.26,33.32,1551
2006-07-26,33.57,33.58,33.08,33.42,226
2006-07-27,33.72,34.3,33.7,34.03,1176
2006-07-28,34.19,34.31,33.81,34.01,1905
2006-07-31,34.4,34.5,33.85,33.86,2904
2006-08-01,0,0,0,0,0
2006-08-02,33.89,34.36,33.77,34.36,1975
2006-08-03,34.58,34.77,34.07,34.45,1980
2006-08-04,34.9,35.37,34.9,35.35,1133
2006-08-07,35.2,35.5,34.62,35.5,6489
2006-08-08,35.74,35.77,35.33,35.38,5644
2006-08-09,35.45,35.93,35.3,35.93,3741
2006-08-10,35.58,35.78,35.27,35.78,22688
2006-08-11,36.1,36.69,35.38,36.2,1446
2006-08-14,36.79,36.84,36.34,36.34,3061
2006-08-15,36.28,36.32,35.38,35.79,2605
2006-08-16,36.4,36.68,36.22,36.51,3065
2006-08-17,36.48,36.48,36,36.18,5963
2006-08-18,35.65,35.89,34.59,34.59,15722
2006-08-21,34.63,35.16,34.5,34.93,4027
2006-08-22,35.2,35.5,35.16,35.44,1615
2006-08-23,35.44,35.99,35.2,35.88,31751
2006-08-24,35.55,35.6,35.37,35.52,8961
2006-08-25,35.79,35.88,35.37,35.88,4017
2006-08-28,35.6,35.71,35.21,35.66,3025
2006-08-29,35.53,36.19,35.5,35.6,2987
2006-08-30,35.79,35.8,35.4,35.56,1383
2006-08-31,35.55,35.55,35.24,35.3,2571
2006-09-01,35.05,35.36,34.59,34.91,2659
2006-09-04,34.88,35.29,34.26,35.29,3477
2006-09-05,35.27,36.07,35.1,36,4682
2006-09-06,35.98,36,35.37,35.43,26961
2006-09-07,34.35,34.67,34.1,34.1,10530
2006-09-08,34.31,34.41,34,34.17,3992
2006-09-11,33.62,33.69,32.65,32.8,5245
2006-09-12,32.75,33.32,32.55,33.32,7221
2006-09-13,32.91,33.8,32.91,33.59,6687
2006-09-14,34.36,34.36,33.6,33.66,11282
2006-09-15,33.44,33.91,33.42,33.47,1890
2006-09-18,33.52,33.84,33,33.84,3788
2006-09-19,34.07,34.07,33.58,33.87,1291
