"Index","Open","High","Low","Adjusted","Volume"
2000-01-03,41.11,41.9,39.52,40.2,706389
2000-01-04,39.15,39.88,37.7,37.7,1096301
2000-01-05,38,38.25,36.11,36.11,1450034
2000-01-06,36.25,37.66,36.12,37.5,1048993
2000-01-07,38,40.5,37.5,39.5,1679722
2000-01-10,40.15,42,38.65,38.65,1204861
2000-01-11,39.9,40.57,38,39.15,1280035
2000-01-12,39.5,39.65,38,38.3,1121790
2000-01-13,38.1,38.9,37.4,38.05,1102723
2000-01-14,37.58,40.5,37.59,39.69,1976032
2000-01-17,40.8,41,38.26,39.05,1076833
2000-01-18,39,38.8,37,37,1331785
2000-01-19,37.1,37.99,36.3,37.1,1641156
2000-01-20,37.1,37.77,36.3,37.01,1471631
2000-01-21,36.43,37,36.2,36.75,894263
2000-01-24,36.5,37.5,36.2,36.2,995367
2000-01-25,36,36,34.7,34.85,1675970
2000-01-26,36,37.5,35.13,37,1893725
2000-01-27,37.5,38.25,37.2,38,2048329
2000-01-28,38.1,39.35,37.55,38.5,1237415
2000-01-31,37.75,39.03,37.55,38.5,1169747
2000-02-01,38.3,39.2,38.2,38.8,808724
2000-02-02,39,39.8,38.25,39.8,970385
2000-02-03,39.42,40,38.75,39.5,1431931
2000-02-04,38.56,39.67,37.02,39,1146365
2000-02-07,39.24,39.88,38.11,39,981778
2000-02-08,39.01,39.95,38.8,39.24,946807
2000-02-09,39.22,39.5,38.25,38.6,953435
2000-02-10,38.8,40.2,37.55,39.5,931245
2000-02-11,39.5,40,38.05,39,1032060
2000-02-14,38.25,40.27,38.25,39.5,865822
2000-02-15,39.05,39.75,38.51,39.75,907028
2000-02-16,39.9,41,39.22,41,1442558
2000-02-17,40.5,43.19,40.3,43,2645874
2000-02-18,43,43.12,42.2,42.9,1067168
2000-02-21,41.99,42.69,41,41.4,1067011
2000-02-22,41.75,41.8,39.75,40.9,1388360
2000-02-23,40.63,42,39.55,40.99,1279066
2000-02-24,40,40.95,37.41,40.7,1696925
2000-02-25,39.64,40.5,39.52,40.5,6305375
2000-02-28,40.35,41,38.5,40.15,1508661
2000-02-29,39.3,40.7,38.76,39.99,1891183
