"Index","Open","High","Low","Adjusted","Volume"
2016-01-04,33.16,33.41,33.16,33.33,4629
2016-01-05,33.77,33.9819,33.71,33.71,8114
2016-01-06,33.4064,33.49,33.132,33.1332,6559
2016-01-07,32.23,32.69,32.15,32.24,8935
2016-01-08,32.7,32.78,32.14,32.14,42815
2016-01-11,32.54,32.72,32.394,32.4101,14794
2016-01-12,32.5,32.5,32.225,32.3,4518
2016-01-13,31.9,31.9372,31.18,31.26,7523
2016-01-14,31,31.25,30.96,31.25,10207
2016-01-15,30.04,30.04,29.44,29.7,212871
2016-01-19,29.5,29.5,29.0701,29.2,16579
2016-01-20,28.32,28.6,28.18,28.54,11416
2016-01-21,28.95,29.29,28.95,29.21,32774
2016-01-22,29.87,29.87,29.65,29.6685,9230
2016-01-25,29.58,29.8,29.537,29.537,4757
2016-01-26,29.76,29.8299,29.575,29.62,28334
2016-01-27,29.68,29.82,29.46,29.53,6883
2016-01-28,29.6242,29.6242,29.491,29.5345,2620
2016-01-29,29.9,30.25,29.9,30.25,13060
2016-02-01,29.98,30.098,29.91,29.93,6898
2016-02-02,29.79,29.79,29.19,29.2,7008
2016-02-03,28.945,29.2,28.59,29.13,26166
2016-02-04,28.9715,29,28.77,28.84,4642
2016-02-05,29.09,29.09,28.86,28.89,681
2016-02-08,28.732,28.881,28.5715,28.88,4123
2016-02-09,28.66,28.66,28.17,28.41,5162
2016-02-10,28.3601,28.3601,28.02,28.02,1066
2016-02-11,27.12,27.12,26.74,26.95,21033
2016-02-12,26.68,26.7907,26.55,26.7907,11055
2016-02-16,27.045,27.045,26.7,26.7,6374
2016-02-17,27.2664,27.2664,27.06,27.13,23485
2016-02-18,27.17,27.24,26.79,26.79,18050
2016-02-19,26.92,26.99,26.72,26.92,9977
2016-02-22,27.45,27.45,27.15,27.19,8027
2016-02-23,26.88,26.91,26.74,26.74,1805
2016-02-24,26.528,26.82,26.5,26.68,27095
2016-02-25,26.35,26.4,26.22,26.4,29228
2016-02-26,26.33,26.33,25.88,25.89,6954
2016-02-29,26.48,26.6276,26.18,26.18,96581
2016-03-01,27.32,27.6499,27.27,27.55,20199
2016-03-02,28.0784,28.31,28,28.03,55525
2016-03-03,28.35,28.7299,28.32,28.45,41597
2016-03-04,28.99,29.3999,28.86,29.14,25832
2016-03-07,28.95,29.4005,28.92,29.245,34568
2016-03-08,28.785,28.8273,28.54,28.54,10052
2016-03-09,29.0101,29.03,28.9516,29.03,1880
2016-03-10,29.12,29.22,28.66,28.8,5600
2016-03-11,29.03,29.2,29.02,29.14,5267
2016-03-14,29.25,29.25,28.96,29.02,9276
2016-03-15,28.82,28.82,28.62,28.7,3700
2016-03-16,28.7348,29.4,28.73,29.18,8907
2016-03-17,29.1902,29.62,29.18,29.53,9768
2016-03-18,29.43,29.6899,29.43,29.5,7671
2016-03-21,29.8,29.91,29.78,29.87,7768
2016-03-22,29.69,29.948,29.69,29.79,6804
2016-03-23,29.72,29.75,29.51,29.58,6643
2016-03-24,29.55,29.65,29.36,29.46,4851
2016-03-28,29.47,29.55,29.41,29.51,6895
2016-03-29,29.41,29.93,29.41,29.8,5698
2016-03-30,30.15,30.4,30.12,30.2,11585
2016-03-31,30.5,30.6777,30.41,30.58,12412
2016-04-01,30.43,30.7887,30.22,30.69,4427
2016-04-04,31,31,30.6,30.71,4560
2016-04-05,30.09,30.1501,29.84,29.84,25760
2016-04-06,30.16,30.49,30.16,30.31,33283
2016-04-07,30.08,30.13,29.62,29.64,16272
2016-04-08,30.29,30.32,29.99,30.07,74112
2016-04-11,30.7989,30.7989,30.62,30.73,1866
2016-04-12,30.8,31.24,30.8,31.08,25895
2016-04-13,31.12,31.3906,31.12,31.33,2796
2016-04-14,31.55,31.55,31.32,31.43,13703
2016-04-15,31.36,31.5,31.26,31.27,55512
2016-04-18,31.55,31.8,31.54,31.63,4959
2016-04-19,32.065,32.17,31.97,32.04,4203
2016-04-20,32.16,32.17,31.99,32.15,2868
2016-04-21,31.64,31.6599,31.49,31.49,6001
2016-04-22,31.5601,31.65,31.4201,31.57,1030
2016-04-25,31.5399,31.5399,31.28,31.3,12211
2016-04-26,31.74,31.81,31.7114,31.81,1358
2016-04-27,31.77,32.11,31.75,32.11,7480
2016-04-28,31.53,31.71,31.5,31.5,1413
2016-04-29,31.2821,31.3317,31.23,31.3317,1882
2016-05-02,31.42,31.4221,31.42,31.4221,1138
2016-05-03,31.44,31.44,31.14,31.28,7085
