"Index","Open","High","Low","Adjusted","Volume"
2006-08-28,39.12,39.12,39.12,39.12,1
2006-08-29,0,0,0,0,0
2006-08-30,39.38,39.38,39.38,39.38,1
2006-08-31,39.57,39.57,39.47,39.5,202
2006-09-01,39.81,39.81,39.81,39.81,1
2006-09-04,40.01,40.04,40.01,40.04,2
2006-09-05,39.82,39.82,39.75,39.75,2
2006-09-06,0,0,0,0,0
2006-09-07,39.01,39.06,39.01,39.06,51
2006-09-08,39.1,39.15,39.1,39.12,40
2006-09-11,39.19,39.19,39.19,39.19,1
2006-09-12,39.55,39.55,39.55,39.55,1
2006-09-13,39.7,39.7,39.7,39.7,1
2006-09-14,39.87,39.87,39.87,39.87,1
2006-09-15,40.26,40.26,40.26,40.26,1
2006-09-18,40.3,40.3,40.17,40.17,376
2006-09-19,40.08,40.08,40.08,40.08,1
2006-09-20,40.35,40.35,40.35,40.35,1
2006-09-21,40.52,40.66,40.52,40.66,181
2006-09-22,40.5,40.5,40.44,40.44,31
2006-09-25,40.43,40.43,40.43,40.43,1
2006-09-26,41.15,41.15,41.15,41.15,1
2006-09-27,41.66,41.66,41.32,41.32,753
2006-09-28,41.37,41.37,41.37,41.37,1
2006-09-29,41.47,41.47,41.47,41.47,1
2006-10-02,0,0,0,0,0
2006-10-03,41.53,41.53,41.45,41.45,227
2006-10-04,41.73,41.73,41.73,41.73,1
2006-10-05,41.99,42.1,41.99,42.1,251
2006-10-06,42.39,42.39,42.32,42.32,2
2006-10-09,42.29,42.29,42.18,42.26,266
2006-10-10,42.96,42.96,42.96,42.96,1
2006-10-11,42.84,42.84,42.7,42.7,300
2006-10-12,43.1,43.1,43.1,43.1,1
2006-10-13,43.32,43.32,43.22,43.22,12
2006-10-16,43.26,43.26,43.26,43.26,1
2006-10-17,43.22,43.22,42.65,42.65,2146
2006-10-18,43.16,43.16,43.16,43.16,1
2006-10-19,43.08,43.08,43.08,43.08,1
2006-10-20,43.17,43.36,43.17,43.36,101
2006-10-23,43.63,43.63,43.63,43.63,1
2006-10-24,43.62,43.62,43.53,43.53,101
2006-10-25,43.62,43.62,43.56,43.56,26
2006-10-26,43.65,43.65,43.48,43.48,173
2006-10-27,43.38,43.38,43.38,43.38,1
2006-10-30,43.22,43.33,43.22,43.23,42
2006-10-31,0,0,0,0,0
2006-11-01,0,0,0,0,0
2006-11-02,43.55,43.55,43.55,43.55,1
2006-11-03,43.77,43.77,43.77,43.77,1
2006-11-06,44.1,44.19,44.1,44.19,3
2006-11-07,44.41,44.41,44.41,44.41,1
2006-11-08,44.3,44.3,44.3,44.3,1
2006-11-09,44.27,44.27,44.27,44.27,1
2006-11-10,44.54,44.54,44.54,44.54,1
2006-11-13,44.84,44.84,44.76,44.82,47
2006-11-14,44.52,44.52,44.52,44.52,1
2006-11-15,44.55,44.55,44.32,44.32,8170
2006-11-16,44.61,44.61,44.61,44.61,1
2006-11-17,44.61,44.61,44.31,44.31,403
2006-11-20,0,0,0,0,0
2006-11-21,0,0,0,0,0
2006-11-22,45.22,45.22,45.22,45.22,173
2006-11-23,45.2,45.2,45.2,45.2,260
2006-11-24,44.6,44.73,44.6,44.73,451
2006-11-27,44.73,44.73,44,44,231
2006-11-28,43.65,43.85,43.65,43.85,12001
2006-11-29,44.09,44.09,44.09,44.09,1
2006-11-30,0,0,0,0,0
2006-12-01,0,0,0,0,0
2006-12-04,43.98,43.98,43.98,43.98,1
2006-12-05,44.13,44.3,44.13,44.3,701
2006-12-06,0,0,0,0,0
2006-12-07,44.52,44.52,44.52,44.52,1
2006-12-08,44.52,44.71,44.5,44.71,508
2006-12-11,45,45.27,45,45.27,39
2006-12-12,45.27,45.27,45.27,45.27,10
2006-12-13,45.29,45.61,45.29,45.61,299
2006-12-14,46.02,46.05,46.02,46.05,371
2006-12-15,46.45,46.6,46.43,46.57,51009
2006-12-18,46.58,46.58,46.54,46.54,2224
2006-12-19,46.45,46.45,46.4,46.4,9
2006-12-20,46.5,46.5,46.5,46.5,1
2006-12-21,0,0,0,0,0
2006-12-22,46.82,46.82,46.71,46.71,10195
2006-12-27,46.88,46.98,46.88,46.98,190
2006-12-28,47.2,47.35,47.2,47.29,10023
2006-12-29,47.38,47.43,47.38,47.43,152
2007-01-02,47.61,47.99,47.61,47.99,20055
2007-01-03,47.9,47.9,47.72,47.77,52
2007-01-04,47.58,47.58,47.3,47.43,20642
2007-01-05,47.17,47.29,47.17,47.29,212
2007-01-08,47.13,47.14,47.07,47.07,30901
2007-01-09,47.34,47.34,47.34,47.34,2500
2007-01-10,47.18,47.18,46.9,46.93,20649
2007-01-11,47.17,47.89,47.17,47.89,45
2007-01-12,47.95,48.04,47.95,48.04,51
2007-01-15,48.52,48.53,48.52,48.53,362
2007-01-16,48.6,48.6,48.43,48.43,623
2007-01-17,48.68,48.68,48.42,48.42,9
2007-01-18,48.77,48.77,48.43,48.43,95
2007-01-19,48.46,48.87,48.46,48.87,153
2007-01-22,49.44,49.44,49.18,49.18,101
2007-01-23,48.95,48.95,48.86,48.86,27
2007-01-24,49.56,49.56,49.56,49.56,1
2007-01-25,49.7,49.7,49.7,49.7,100
2007-01-26,49.2,49.2,48.9,48.92,246
2007-01-29,48.97,49.03,48.97,49,223
2007-01-30,48.8,48.8,48.68,48.68,252
2007-01-31,48.65,48.65,48.39,48.39,261
2007-02-01,48.88,49.21,48.88,49.08,651
2007-02-02,49.77,49.77,49.77,49.77,1
2007-02-05,49.88,50.1,49.88,50.1,266
2007-02-06,50.41,50.41,50.41,50.41,1
2007-02-07,50.56,50.64,50.54,50.64,76
2007-02-08,50.72,50.72,50.03,50.03,207
2007-02-09,50.38,50.42,50.2,50.42,121
2007-02-12,50.38,50.38,50,50,130
2007-02-13,49.9,49.9,49.43,49.43,377
2007-02-14,0,0,0,0,0
2007-02-15,50,50.24,50,50.24,85
2007-02-16,50.23,50.23,50.23,50.23,27
2007-02-19,50.7,50.82,50.62,50.82,2661
2007-02-20,50.75,50.75,50.59,50.59,146
2007-02-21,51,51,50.73,50.73,51
2007-02-22,51,51.04,50.63,50.63,313
2007-02-23,50.93,50.93,50.65,50.7,1891
2007-02-26,50.72,50.72,50.25,50.25,391
2007-02-27,49.99,49.99,47.96,48.13,4387
2007-02-28,0,0,0,0,0
2007-03-01,47.81,47.81,47,47.11,90
2007-03-02,47.1,47.1,47.1,47.1,1
2007-03-05,45.65,46.15,45.39,46.15,898
2007-03-06,0,0,0,0,0
2007-03-07,47.26,47.26,47.26,47.26,1
2007-03-08,48,48,48,48,45
2007-03-09,47.99,47.99,47.76,47.94,335
2007-03-12,48.07,48.07,48,48,1001
2007-03-13,47.9,47.9,47.5,47.5,378
2007-03-14,46.16,46.16,45.66,45.66,843
2007-03-15,46.56,46.73,46.56,46.73,51
2007-03-16,46.9,46.96,46.9,46.96,11
2007-03-19,47.78,47.78,47.78,47.78,1
2007-03-20,48.06,48.38,48.06,48.38,71
2007-03-21,48.75,48.85,48.75,48.85,201
2007-03-22,49.9,49.9,49.56,49.56,401
2007-03-23,49.58,49.58,49.58,49.58,1
2007-03-26,49.85,49.86,49.33,49.33,222
2007-03-27,49.25,49.25,49.25,49.25,1
2007-03-28,48.9,48.9,48.57,48.57,10644
2007-03-29,48.98,49.21,48.95,49.21,901
2007-03-30,49.28,49.5,49.28,49.5,27
2007-04-02,49.42,49.81,49.42,49.8,8670
2007-04-03,50.16,50.23,50.16,50.23,151
2007-04-04,50.27,50.27,50.27,50.27,1
2007-04-05,50.17,50.24,50.17,50.24,48
2007-04-10,50.6,50.71,50.6,50.71,601
2007-04-11,50.46,50.83,50.46,50.46,79
2007-04-12,50.2,50.2,49.91,49.94,196
2007-04-13,49.96,49.98,49.96,49.98,12501
2007-04-16,50.46,50.64,50.46,50.64,127
2007-04-17,50.46,50.46,50.46,50.46,1
2007-04-18,0,0,0,0,0
2007-04-19,49.52,49.65,49.52,49.65,81
2007-04-20,50.1,50.1,50.1,50.1,1
2007-04-23,50,50,50,50,1
2007-04-24,50.01,50.01,49.23,49.23,96
2007-04-25,49.43,49.43,49.43,49.43,1
2007-04-26,49.39,49.39,49.39,49.39,1
2007-04-27,49.18,49.18,49.1,49.1,81
2007-04-30,49.24,49.27,49.24,49.27,21
2007-05-02,49.44,49.64,49.44,49.62,36179
2007-05-03,49.76,49.76,49.72,49.72,201
2007-05-04,50.12,50.12,50.12,50.12,1
2007-05-07,50.14,50.14,50.14,50.14,1
2007-05-08,0,0,0,0,0
2007-05-09,49.35,49.35,49.35,49.35,1
2007-05-10,49.61,49.61,49.61,49.61,1
