"Index","Open","High","Low","Adjusted","Volume"
2007-12-18,24.6,24.85,21.8101,23.92,94600
2007-12-19,24.23,25.96,24.01,24.4,105800
2007-12-20,24.15,25.28,24,24.25,109000
2007-12-21,25,25.16,24.62,25.16,125600
2007-12-24,25.9,27.5699,25.88,26.99,163200
2007-12-26,26.81,27.08,25.89,26.03,148900
2007-12-27,25.88,26.48,24.73,24.99,87100
2007-12-28,25.2,25.35,25,25.154,27400
2007-12-31,26.19,26.19,25.15,25.31,45000
2008-01-02,25.58,25.95,25.07,25.6,305500
2008-01-03,25.55,25.7,25,25.01,120100
2008-01-04,25,25.07,24.01,24.6999,302000
2008-01-07,24.71,25.33,24.25,24.99,112900
2008-01-08,25.18,25.29,24.36,24.47,51800
2008-01-09,24.5,25.17,24.27,25.16,63400
2008-01-10,24.45,25.65,24.4,25.5,58300
2008-01-11,25.04,26,24.7,24.72,15000
2008-01-14,24.6,25.1,24.31,25.1,23400
2008-01-15,24.3,24.6,22.54,23.485,99000
2008-01-16,23,23.55,22.25,23.31,100500
2008-01-17,22.5,23.04,21.74,22,135100
2008-01-18,22.01,22.637,21.53,22.61,27600
2008-01-22,20.45,22.75,19.01,22.15,43400
2008-01-23,20.68,22.56,20.41,22.262,56000
2008-01-24,21.99,22.39,21.36,22.25,26000
2008-01-25,25.13,25.13,22.5,22.93,44900
2008-01-28,22.39,23.15,21.8,22.8799,55800
2008-01-29,22.4,22.86,22.2,22.5,8700
2008-01-30,22,22.25,21.8101,22.25,8100
2008-01-31,21.4,22.395,20.6,22.395,21100
2008-02-01,22,22.35,21.14,22.33,20000
2008-02-04,22.59,22.61,20.1,21.9101,20400
2008-02-05,21.55,22.4,21.4,21.4,21600
2008-02-06,21.55,21.86,20.8501,20.8501,17900
2008-02-07,20.5,21.2266,20.02,20.61,11100
2008-02-08,20.55,21.45,20.55,21.01,3600
2008-02-11,21,21.2,20.54,21,11100
2008-02-12,21.48,21.69,20.823,21.2001,18100
2008-02-13,21.65,22.97,20.56,21.8899,15600
2008-02-14,22.47,22.47,21.6,21.77,14500
2008-02-15,22.2,22.31,21.38,22.15,12100
2008-02-19,21.81,22.79,21.26,22.04,20300
2008-02-20,21.23,21.98,21.14,21.97,15500
2008-02-21,21.15,21.69,21.04,21.15,7000
2008-02-22,20.8,21,20.24,20.95,21700
2008-02-25,20.59,20.8599,20.46,20.84,9600
2008-02-26,22.15,22.15,20.9701,21.5699,12300
2008-02-27,21.66,21.96,20.67,21.69,11000
2008-02-28,21.49,22,21.49,21.59,11500
2008-02-29,21.47,21.47,20.95,21.03,12100
2008-03-03,20.5,21.1,20.5,20.63,11100
2008-03-04,20.05,20.59,20.05,20.47,8300
2008-03-05,21.2,21.2,20.05,20.37,24700
2008-03-06,20.05,20.27,19.51,19.55,8100
2008-03-07,19.5,19.73,19.13,19.18,6600
2008-03-10,19.1,19.1,18.16,18.23,33100
2008-03-11,19.35,20.11,18.8,20.11,500
2008-03-12,20.05,20.05,19.02,19.46,109800
2008-03-13,18.9,19.27,18.4,19.27,45800
2008-03-14,18.94,18.94,18.02,18.26,14800
2008-03-17,17.51,17.94,17,17.68,19900
2008-03-18,17.95,18.65,17.66,18.65,146500
2008-03-19,18.39,18.5,17.65,17.71,14600
2008-03-20,17.1,18,17.1,17.75,18600
2008-03-24,17.1,18.84,17.1,18.67,18500
2008-03-25,18.47,19.11,18.47,19.1,6400
2008-03-26,19.4,19.46,18.77,19.15,6500
2008-03-27,19.36,19.59,19.25,19.45,18000
2008-03-28,20,20,18.65,18.99,17200
2008-03-31,19.46,19.76,19.39,19.61,11100
2008-04-01,20,20.5,19.93,20.5,16300
2008-04-02,20.17,20.55,20.12,20.42,10300
2008-04-03,20.88,21.6,20.79,21.6,12800
2008-04-04,22.49,22.49,20.95,21.24,8700
2008-04-07,21.16,21.46,21.13,21.14,25400
2008-04-08,20.53,21.13,20.52,20.9,28700
2008-04-09,20.5,20.51,20,20,9900
2008-04-10,20.19,20.73,20.13,20.39,23000
2008-04-11,20.32,20.47,20.27,20.35,4800
2008-04-14,20,20.06,19.49,19.94,16300
2008-04-15,19.8,19.82,19.47,19.73,13700
2008-04-16,19.59,20.19,19.59,20.19,14200
2008-04-17,19.83,20.12,19.78,20.12,9161
2008-04-18,20.36,20.45,19.75,20.33,12995
2008-04-21,20.15,20.4,19.94,19.94,18546
2008-04-22,20.55,20.6799,19.93,20.46,27146
2008-04-23,20.72,21.38,20.64,21.3506,20323
2008-04-24,21.42,22.3,21.36,22.07,143163
2008-04-25,21.39,22.1,21.35,21.84,23598
2008-04-28,21.53,22.02,21.21,21.3,220842
2008-04-29,21.32,21.93,21.26,21.4201,17313
2008-04-30,21.58,21.89,21.5,21.68,14056
2008-05-01,21.91,22.15,21.61,22.15,9800
2008-05-02,22.4,22.59,22.19,22.42,16634
2008-05-05,22.1,22.67,22.1,22.49,15001
2008-05-06,22.48,22.82,22.35,22.74,12709
2008-05-07,21.62,22.36,21.62,21.63,21412
2008-05-08,21.66,21.91,21.2501,21.9,13796
2008-05-09,21.5,21.54,21.3,21.41,4721
2008-05-12,21.25,21.55,21,21.44,12562
