ticker,currency,quantity,purchase_date,price,commission,instrument_type,is_short,geography,sector,google_ticker,alpha_ticker,portfolio,saved_as
EUR,EUR,100000,20/08/2017,1,,Equity,,,,,,,
BIB,USD,72,30/08/2017,55.776,29.95,ETF,0,USA,Biotech,NASDAQ:BIB,BIB,Keytrade,BIB
USD,EUR,4045.822,1/9/17,0.843952107,0,Forex,,,,,,Keytrade,
BABA,USD,28,13/09/2017,178.6092,29.95,Stock,0,China,Tech,NYSE:BABA,BABA,Keytrade,BABA
BIDU,USD,21,13/09/2017,236.34,29.95,Stock,0,China,Tech,NASDAQ:BIDU,BIDU,Keytrade,BIDU
KWEB,USD,85,13/09/2017,58.7,29.95,ETF,0,China,MSCI A share,NYSEARCA:KWEB,KWEB,Keytrade,KWEB
MELI,USD,17,13/09/2017,290.1,29.95,Stock,0,Brazil,Tech,NASDAQ:MELI,MELI,Keytrade,MELI
SMIN,USD,105,13/09/2017,47.65,29.95,ETF,0,India,Small Caps,BATS:SMIN,SMIN,Keytrade,SMIN
TAO,USD,172,13/09/2017,29.35,29.95,ETF,0,China,Real Estate,NYSEARCA:TAO,TAO,Keytrade,TAO
UEC,USD,3500,13/09/2017,1.37,29.95,Stock,0,USA,Energy - Uranium,NYSEAMERICAN:UEC,UEC,Keytrade,UEC
GM Mar18 P 32,USD,700,13/09/2017,0.65,19.95,Options,0,,,,GM,Keytrade,GM
USD,EUR,35416.4476,14/09/2017,0.84412701,0,Forex,,,,,,Keytrade,
RUS,EUR,175,14/09/2017,28.2,14.95,ETF,0,Russia,LargeCap,RUS.PA,RUS.PA,Keytrade,RUS
ISJP,EUR,140,15/09/2017,33.5,14.95,ETF,0,Japan,Small Caps,ISJP.AS,ISJP.AS,Keytrade,ISJP
GGP Jan19 P 19.74,USD,200,18/08/2017,2.8,19.95,Options,0,,,,GGP,Keytrade,GGP
USD,EUR,579.95,20/09/2017,0.839917234,,Forex,,,,,,Keytrade,
CS1,EUR,20,19/09/2017,204.28,14.95,ETF,0,Spain,MSCI Spain,EPA:CS1,CS1.PA,Keytrade,CS1
CSKR,EUR,33,19/09/2017,135.16,14.95,ETF,0,S. Korea,MSCI S. Korea,EAS:CSKR,CSKR.AS,Keytrade,CSKR
COPX,USD,197,13/09/2017,24.99,29.95,ETF,0,World,Commodity,NYSEARCA:COPX,COPX,Keytrade,COPX
USD,EUR,4952.98,25/09/2017,0.839912538,,Forex,,,,,,Keytrade,
USD,EUR,0.47,3/10/17,0.85106383,,Forex,,,,,,Keytrade,
USD,USD,1,3/10/17,0.47,,Fees,,,,,,Keytrade,
ESPR,USD,75,6/10/17,56.35,29.95,Stock,0,USA,Biotech,NASDAQ:ESPR,ESPR,Keytrade,ESPR
MOMO,USD,130,6/10/17,31.9665,29.95,Stock,0,China,Tech,NASDAQ:MOMO,MOMO,Keytrade,MOMO
CHIX,USD,280,10/10/17,17.57,29.95,ETF,0,China,Financials,NYSEARCA:CHIX,CHIX,Keytrade,CHIX
SX6FIN,EUR,85,11/10/17,58.8,14.95,ETF,0,Europe,Financials,EPA:FIN,FIN.PA,Keytrade,FIN.PA
USD,EUR,13391.36,11/10/17,0.852951455,,Forex,,,,,,Keytrade,
MELI,USD,1,16/10/2017,2.17,,Dividend,,,,,MELI,Keytrade,MELI
FMI,EUR,110,19/10/2017,40.55,14.95,ETF,0,Italy,MSCI Italy,EPA:FMI,FMI.PA,Keytrade,FMI
MOMO,USD,-130,6/10/17,23.811,29.95,Stock,0,,,,MOMO,Keytrade,MOMO
Sanofi,EUR,68,6/12/17,73.1,29.86,Stock,0,France,Pharma,EPA:SAN,SAN.PA,Keytrade,SAN
CG1,EUR,21,11/12/17,240.4,24.95,ETF,0,Germany,MSCI Germany,CG1.PA,CG1.PA,Keytrade,CG1
KWEB,USD,1,27/12/2017,24.44,,Dividend,,,,,KWEB,Keytrade,KWEB
SMIN,USD,1,27/12/2017,41.61,,Dividend,,,,,SMIN,Keytrade,SMIN
TAO,USD,1,3/1/18,240.94,,Dividend,,,,,TAO,Keytrade,TAO
CHIX,USD,1,10/1/18,81.41,,Dividend,,,,,CHIX,Keytrade,CHIX
COPX,USD,1,10/1/18,71.73,,Dividend,,,,,COPX,Keytrade,COPX
MELI,USD,1,17/01/2018,2.17,,Dividend,,,,,MELI,Keytrade,MELI
GE 2Feb18 P 17,USD,-500,19/01/2018,0.96,,Options,1,,,,GE,IB Brokers,GE
GE 2Feb18 P 17,USD,-500,19/01/2018,0.94,,Options,1,,,,GE,IB Brokers,GE
ALLY 16Feb18 C 29,USD,300,19/01/2018,1.8,0.14,Options,1,,,,ALLY,IB Brokers,ALLY
COF 26Jan18 C 105,USD,200,19/01/2018,1.8,0.74,Options,1,,,,COF,IB Brokers,COF
COF 19Jan18 C 95,USD,200,18/01/2018,9.11,,Options,1,,,,COF,IB Brokers,COF
CAR 16Feb18 C 42,USD,300,19/01/2018,2.9,,Options,1,,,,CAR,IB Brokers,CAR
AGI,USD,500,16/01/2018,6.1793,2,Stock,0,,,,AGI,IB Brokers,AGI
CANE,USD,50,16/01/2018,9.15,1,Stock,0,,,,CANE,IB Brokers,CANE
CANE,USD,350,16/01/2018,9.16,1.4,Stock,0,,,,CANE,IB Brokers,CANE
MAG,USD,200,16/01/2018,12.2486,1,Stock,0,,,,MAG,IB Brokers,MAG
NIB,USD,200,17/01/2018,24.32945,1,Stock,0,,,,NIB,IB Brokers,NIB
UEC,USD,2000,22/01/2018,1.6293,8,Stock,0,,,,UEC,IB Brokers,UEC
AEP 16Feb18 P 67.5,USD,-500,22/01/2018,1.05,0.23,Options,1,,,,AEP,IB Brokers,AEP
ALLY 16Feb18 C 29,USD,-300,16/01/2018,1.95,0.12,Options,1,,,,ALLY,IB Brokers,ALLY
COF 26Jan18 C 105,USD,-200,16/01/2018,2.53,1,Options,1,,,,COF,IB Brokers,COF
DUK 20Apr18 P 80,USD,-200,22/01/2018,4.2,0.11,Options,1,,,,DUK,IB Brokers,DUK
